Beaufort force %.1f,Force %.1f Beaufort,Beaufort-Stärke %.1f,قوة بيوفور %I.1f
mist,brume,Nebel,غشى
moderate drizzle,bruine modérée,Mäßiger Nieselregen,رذاذ متوسط
moderate rain,pluie modérée,Mäßiger Regen,مطر متوسط
moderate sleet,grésil modéré,Mäßiger Eisregen,مطر متجمد متوسط
moderate snow,neige modérée,Mäßiger Schneefall,ثلوج متوسطة
moderate snow grains,flocons de neige modérés,Mäßiger Schneegriesel,حبات ثلجية متوسطة
north,nord,Nord,شمال
north — northeast,nord — nord-est,Nordnordost,شمال — شمال شرقي
north — northwest,nord — nord-ouest,Nordnordwest,شمال — شمال غربي
northeast,nord-est,Nordost,شمال شرقي
northwest,nord-ouest,Nordwest,شمال غربي
overcast,couvert,bedeckt,مكفهر
partial fog,brouillard intermittent,Teils Nebel,ضباب جزئي
patches of fog,nappes de brouillard,Vereinzelter Nebel,رقع من الضباب
rain,pluie,Regen,مطر
rain showers,averses,Regenschauer,وابل من المطر
sand,sable,Sandtreiben,رمال
sandstorm,tempête de sable,Sandsturm,عاصفة رملية
sandstorm in the vicinity,tempête de sable dans les environs,Sandsturm in der Umgebung,عاصفة رملية بالجوار
scattered clouds,nuages disséminés,Leicht bewölkt,غيوم متفرقة
shallow fog,brouillard superficiel,Bodennebel,ضباب خفيف جدا
showers of sleet,averses de grésil,Eisregenschauer,وابل من المطر المتجمد
showers of small hail,averses de petite grêle,Leichte Hagelschauer,وابل من البرَد الصغير
sleet,grésil,Eisregen,مطر متجمد
sleet storm,tempête de grésil,Eisregensturm,عاصفة من المطر المتجمد
small hail,petite grêle,Leichter Hagel,برَد صغير
small hailstorm,tempête de petite grêle,Leichter Hagelsturm,عاصفة من البرَد الصغير
smoke,fumée,Rauch,دخان
snow,neige,Schneefall,ثلوج
snow grains,flocons de neige,Schneegriesel,حبات ثلجية
snow showers,précipitations de neige,Schneeschauer,وابل ثلجي
snowstorm,tempête de neige,Schneesturm,عاصفة ثلجية
south,sud,Süd,جنوب
south — southeast,sud — sud-est,Südsüdost,جنوب — جنوب شرقي
south — southwest,sud — sud-ouest,Südsüdwest,جنوب — جنوب غربي
southeast,sud-est,Südost,جنوب شرقي
southwest,sud-ouest,Südwest,جنوب غربي
squall,bourrasque,Windböen,عاصفة مفاجئة
thunderstorm,orage,Gewitter,عاصفة رعدية
tornado,tornade,Tornado,إعصار
unknown precipitation,précipitations inconnues,Unbekannte Niederschläge,تكثف مجهول
variable,variable,Veränderlich,متغير
volcanic ash,cendres volcaniques,Vulkanasche,رماد بركاني
west,ouest,West,غرب
west — northwest,ouest — nord-ouest,Westnordwest,غرب — شمال غربي
west — southwest,ouest — sud-ouest,Westsüdwest,غرب — جنوب غربي
