English,French,German,Arabic
"Play current macro (i.e., execute the last recorded keyboard action sequence).","Exécuter la macro courante (Par exemple, exécuter la dernière séquence enregistrée d'actions clavier).",Aktuelles Makro wiedergeben (also die zuletzt aufgenommene Tastenfolge ausführen),شغّل الماكرو الحالي (أي تنفيذ آخر تسلسل إجراءات لوحة المفاتيح المسجلة).
Play the '%1' macro without loading it.,Exécuter la macro « %1 » sans la charger.,Das Makro „%1“ wiedergeben ohne es zu laden.,شغل الماكرو '%1' دون تحميله.
Record and play keyboard macros.,Enregistrer et lire les macros de clavier.,Tastaturmakros aufnehmen und wiedergeben.,تسجيل وحدات ماكرو لوحة المفاتيح وتشغيلها.
Recording %1,Enregistrement de %1...,%1 wird aufgenommen,يسجّل %1
Recording…,Enregistrement...,Aufnahme ...,يسجّل…
Save current macro as?,Enregistrer la macro courante comme cela ?,Aktuelles Makro speichern als?,هل تحفظ الماكرو الحالي كـ؟
Saved '%1',« %1 » enregistré,„%1“ gespeichert,حفظ '%1'
"Start/stop recording a macro (i.e., keyboard action sequence).","Démarrer / Arrêter l'enregistrement d'une macro (Par exemple, une séquence d'action du clavier)",Aufnahme eines Makros (also einer Tastenfolge) starten/beenden,بدء/إيقاف تسجيل ماكرو (أي تسلسل إجراءات لوحة المفاتيح).
Usage: %1 <name>.,Utilisation : %1 <name>.,Aufruf: %1 <Name>.,استخدم: %1 <name>.
Wipe %1,Balayer %1,„%1“ gelöscht,امسح %1
Wipe a named macro.,Supprimer une macro nommée.,Ein benanntes Makro löschen.,امسح ماكرو مسمى.
Wipe the '%1' macro.,Supprimer la macro « %1 ».,Das Makro „%1“ löschen.,امسح الماكرو '%1'.
Wipe the '%1' macro?,Supprimer la macro « %1 » ?,Das Makro „%1“ löschen?,هل امسح الماكرو '%1'؟
Wiped '%1',« %1 » supprimé,„%1“ gelöscht,مسح '%1'
canceled,annulé,abgebrochen,أُلغي
ended,terminé,beendet,انتهى
