Number,Arabic,English
90,هجوم نشط,active attack
91,خلية نشطة,active cell
92,قناة نشطة,active channel
93,محتوى نشط,active content
94,غرض معطيات نشط (ADO),Active Data Object
95,سطح مكتب نشط,active desktop
96,تجهيزة نشطة,active device
97,دليل نشط (ِAD),AD) Active Directory
98,ملف نشط,active file
99,إطار عمل نشط لإيداع المعطيات (AFDW),Active Framework for Data Warehousing
100,مجمع نشط,active hub
101,خط نشط,active line
102,وصلة نشطة,active link
103,مظهار ذو مصفوفة نشطة,active matrix display
104,مرقاب نشط,active monitor
105,منصة نشطة,active platform
106,مدة صيانة وقائية نشطة,active preventive maintenance time
107,برنامج نشط,active program
108,حشو نشط,active redundancy
109,مدة الإصلاح النشطة,active repair time
110,مخدم نشط,active server
111,صفحات المخدم النشطة (ASP),Active Server Page
112,وصلة تشوير نشطة,active signaling link
113,نجمة نشطة,active star
114,تهديد نشط,active threat
115,نافذة نشطة,active window
116,[تقانات] ActiveX,ActiveX
117,تحكم في [مكون] ActiveX,ActiveX Control
118,عامل النشاط,activity factor
119,نسبة النشاط,activity ratio
120,[لغة] ACTOR,ACTOR
121,مفعل,actuator
122,بيان لالحقي,acyclic graph
123,لافتة إعلانية,ad banner
124,نقرات إعلانية,ad clicks
125,محول تماثلي-رقمي,A-D converter
126,شبكة مرتجلة,ad hoc network
127,[لغة] Ada,Ada
128,تكيفية ، قابلية التكيف,adaptability
129,موائمة (بطاقة تواؤم),adapter
130,إجابة تكيفية,adaptive answering
131,تحصيص تكيفي للقناة,adaptive channel allocation
132,اتصالات تكيفية,adaptive communications
133,ضغط تكيفي,adaptive compression
134,تعديل تكيفي تفاضلي بترميز النبضة (ADPCM),Adaptive Differential Pulse Code Modulation
135,تسوية تكيفية,adaptive equalization
136,تنبؤ تكيفي,adaptive prediction
137,ترميز تنبئي تكيفي,adaptive predictive coding
138,تكمية تكيفية,adaptive quantization
139,توجيه تكيفي,adaptive routing
140,نمط الجمع,add mode
141,جامع,adder
142,جامع/طارح,adder-substracter
143,ملف إضافات، سجل إضافة,addition record
144,إضافة,add-on
145,عنوان,address
146,دفتر عناوين,address book
147,مسرى عناوين,address bus
148,صفوف عناوين,address classes
149,مفكك ترميز العناوين,address decoder
150,خطأ عنونة,address error
151,سجل عناوين,address register
152,حل العناوين,address resolution
153,بروتوكول حل العناوين (ARP),Address Resolution Protocol
154,فضاء عناوين,address space
155,جدول عناوين,address table
156,ترجة العناوين,address translation
157,قابلية العنونة,addressability
158,عنونة,addressing
159,دارة حاسوبية كظومة,adiabatic computer circuit
160,متاخة (تاور),adjacency
161,نطاق إدارة تنفيذية,administration management domain
162,مجمع إدارة تنفيذية,administrative management complex
163,أرقام إدارية,administrative numbers
164,مدير [شبكة],administrator
165,[بيئة] ADO.NET,ADO.NET
166,(معالجة آلية للمعطيات) ADP,ADP (Automatic Data Processing)
167,نظام ADP,ADP system
168,وظيفة اتصال متقدم الاتصالات الافتراضية,Advanced communications function for virtual telecommunications (ACF/VTAM)
169,خدمات و تقانات الاتصالات المتقدمة (ACTS),Advanced Communications Technologies and Services
170,واجهة متقدمة للتشكيل و القدرة (ACPI),Advanced Configuration and Power Interface
171,إجراءات تحكم متقدمة في الاتصالات للمعطيات,Advanced Data Communication Control Procedures
172,معيار تعمية متقدمة (AES),Advanced Encryption Standard
173,[نظام التشغيل] AIX,Advanced Interactive eXecutive
174,إدارة متقدمة للقدرة (APM),Advanced Power Management
175,ريسك متقدم,advanced RISC
176,توصيف حوسبة ريسك متقدم,advanced RISC computing specification
177,نسق متقدم للدفق (ASF),Advanced Streaming Format
178,[واجهة] ربط تقانات متقدمة (ATA),Advanced Technology Attachment
179,تلفزة متقدمة (ATV),advanced television
180,نظام متقدم لإدارة النصوص,advanced text management system
181,[شبكة] AdvanceNet,AdvanceNet
182,برمجيات إعلانية,adware
183,كبل هوائي,aerial cable
184,محطة إرشاد للطيران,aeronautical advisory station
185,محطة بث للطيران,aeronautical broadcast station
186,مخطط الطيران,aeronautical chart
187,محطة أرضية للطيران,aeronautical earth station
188,خطة لنظام اتصالات طوارئللطيران,Aeronautical Emergency Communications System Plan
189,خدمة ثابتة للطيران,aeronautical fixed service
190,محطة ثابتة للطيران,aeronautical fixed station
191,تجميع,aggregation
192,مجمع,aggregator
193,الاتفاقيات، والمعايير، والسياسات، والنواظم (ASPR),"Agreements,Standards,Policies and Regulations"
194,محطة أرضية على متن طائرة,aircraft Earth station
195,تردد طوارئ للطائرات,aircraft emergency frequency
196,خدمة الهاتف الراديوي جو-أرض,air-ground radiotelephone service
197,منظومة اتصالات عالمية جو-أرض,air-ground worldwide communications system
198,محطة مراقبة المطار,airport control station
199,كبل محوري بعزل هوائي,air-spaced coaxial cable
200,مدة الاتصال,air-time
201,موجة هوائية,airwave
202,[رابطة] AITP,AITP
203,مركز إنذار,alarm center
204,إشارة الإنذار,alarm indication signal
205,مؤشر الإنذار,alarm indicator
206,محس الإنذار,alarm sensor
207,حالة الإنذار,alarm status
208,مراقبة الإنذار,alarm surveillance
209,القانون-A,A-law
210,خوارزمية القانون-A,A-law algorithm
211,خدمة إنذار,aleritng service
212,إنذار,alert
213,صندوق إنذار,alert box
214,إشارة إنذار,alerting signal
215,حلقة ألفورد,Alford loop
216,[خوارزمية] التنبؤ الخطي المحرض بترميز جبري,Algebraic Code Excited Linear Prediction
217,[لغة] ألغول,ALGOL
218,معرف الخوارزمية,algorithm identifier
219,رماز النقطة البديلة,alias point code
220,رزمة [ألياف] متحاذية,aligned bundle
221,مراقبة معدل أخطاء المحاذاة,alignment error rate monitoring
222,رجرجة المحاذاة,alignment jitter
223,جميع القنوات مشغولة,all trunks busy
224,ليف زجاجي كله,all-glass fiber
225,اتحاد حلول صناعة الاتصالات (ATIS),Alliance for Telecommunications Industry Solutions
226,تخصيص (لنطاق تردد),allocation (of a frequency band)
227,شبكة ضوئية كليا,all-optical network
228,[شبكة] ألوها,Aloha
229,[تقانة] ألوهانت,AlohaNet
230,رقاقة ألفا,Alpha chip
231,طقم محارف أبجدية,alphabetic character set
232,رماز أبجدي,alphabetic code
233,متوالية [محارف] أبدية,alphabetic string
234,مطراف إظهار حرفي-رقمي,alphanumeric display terminal
235,تركيب سمتي ارتفاعي,altazimuth mounting
236,مزود نفاذ بديل,alternate access provider
237,توجيه إلى حامل بديل,alternate carrier routing
238,قلب متناوب للعلامات,alternate mark inversion
239,طرف بديل,alternate party
240,مسار بديل,alternate route
241,توجيه بديل,alternate routing
242,مسار بديل,alternative route
243,توجيه بديل,alternative routing
244,طريقة اختبار بديلة (للألياف الضوئية),alternative test method (for optical fibers)
245,منوبة,alternator
246,شاشة مؤلمنة,aluminized screen
247,[خدمة] شغال دون توقف في ISDN ديناميكي,always on/dynamic ISDN
248,تحويل AM/PM,AM/PM conversion
249,راديو هواة,amateur radio
250,ساتل هواة,amateur satellite
251,محطة هواة,amateur station
252,ضجيج الوسط,ambient noise
253,درجة الحرارة المحيطة,ambient temperature
254,خطأ التباس,ambiguity error
255,قانون أمدال,Amdahl's law
256,[المعالج] AMD-k6,AMD-k6
257,[خدمة] America Online,America Online
258,(ARIN) [منظمة] السجل الأمريكي لأرقام الإنترنت (الشابكة),American Registry for Internet Numbers
259,الرماز المعياري الأمريكي لتبادل المعلومات (ASCII),American Standard Code For Information Interchange
260,AT&T [شركة],American Telephone and Telegraph
261,[ذاكرة] AMI BIOS,AMI BIOS
262,مضخم,amplifier
263,تشوه السعة,amplitude distortion
264,مسوي السعة,amplitude equalizer
265,تعديل شدة السعة,amplitude intensity modulation
266,تعديل السعة,amplitude keying
267,مكافئ تعديل السعة,amplitude modulation equivalent
268,تعديل بإزاحة السعة (ASK),Amplitude Shift Keying
269,تحليل,analysis
270,هجوم تحليلي,analytical attack
271,قرص فيديوي رقمي مصحح للتشوه,anamorphic DVD
272,أنغستروم,angstrom
273,إرسال متفاوت المدد,anisochronous transmission
274,متباين الخاصيات [الكهربائية أو الضوئية],anisotropic
275,تلدين,annealing
276,منظومة كشف الشذوذ,anomaly-detection system
277,[إطار العمل] كوكون أباتشي,Apache Cocoon
278,إرسال لامتناظر,asymmetrical transmission
279,لامتزامن,asynchronous
280,نمط متوازن لامتزامن(ABM),Asynchronous Balanced Mode
281,اتصالات لامتزامنة,asynchronous communications
282,موائمة واجهة اتصالات لامتزامنة,asynchronous communications interface adapter
283,منظومة اتصالات لامتزامنة,asynchronous communications system
284,تجهيزة لامتزامنة,asynchronous device
285,دخل/خرج لامتزامن,asynchronous I/O
286,[تقنية] JavaScript و XML اللامتزامنة,Asynchronous JavaScript and XML (AJAX)
287,نمط لامتزامن,asynchronous mode
288,منظومة إرسال مضمم لامتزامن,asynchronous multiplexed
289,شبكة لامتزامنة,asynchronous network
290,عملية لامتزامنة,asynchronous operation
291,استدعاء إجراء لامتزامن,asynchronous procedure call
292,بروتوكول لامتزامن,asynchronous protocol
293,توصيف بروتوكول لامتزامن,asynchronous protocol specification
294,نمط استجابة لامتزامنة (ARM),Asynchronous Response Mode
295,تضميم باقتسام الزمن لامتزامن,asynchronous time-division multiplexing
296,نمط نقل لامتزامن (ATM),ATM) Asynchronous Transfer Mode
297,إرسال لامتزامن,asynchronous transmission
298,مسرى AT,AT bus
299,صنف AT,AT class
300,أوامر AT,AT commands
301,لوحة أم [من النوع] AT,AT motherboard
302,مسوق ATA,ATA drive
303,بطاقة مسوق قرص صلب,ATA hard disk drive card
304,واجهة رزم ATA,ATA Packet Interface
305,[صفيفة] RAID [ذات [مسوق,ATA RAID
306,مسوق قرص صلب ATA/IDE,ATA/IDE hard disk drive
307,[المعيار] ATA-4,ATA-4
308,[حاسوب] أتاناسوف بيري كليفورد (ABC),Atanasoff Berry Clifford (ABC)
309,[الواجهة] ATAPI,ATAPI
310,[الواجهة] ATASPI,ATASPI
311,[بنيان] ATCA,ATCA
312,[تضميم] ATDM,ATDM
313,[تنبيه] ATDP,ATDP
314,[تنبيه] ATDT,ATDT
315,(نمط نقل المتزامن) ATM,ATM (Asynchronous Transfer Mode)
316,طبقة مواءمة ATM,ATM Adaptation Layer
317,ربط ATM,ATM connection
318,نقطة طرفية ATM,ATM endpoint
319,منتدى ATM,ATM forum
320,ربط طبقات ATM,ATM layer connection
321,وصلة ATM,ATM link
322,آلة ATM,ATM machine
323,مبدال ATM,ATM switch
324,نظام نقل ATM,ATM transport system
325,امتصاص الغلاف الجوي,atmospheric absorption
326,تداخل الغلاف الجوي,atmospheric interference
327,ضجيج الغلاف الجوي,atmospheric noise
328,ميقاتية ذرية,atomic clock
329,ذرية,atomicity
330,[ترميز] ATRAC3,ATRAC3
331,[لجنة] ATSC,ATSC
332,يرفق,attach (v)
333,وثيقة مرفقة,attached document
334,معالج مرفق,attached processor
335,مرفق,attachment
336,هجوم,attack
337,مدة الهجوم,attack time
338,نفاذ إلى المشغل,attendant access
339,حلقة نفاذ إلى المشغل,attendant access loop
340,محطة مأهولة,attended station
341,محرف تنبيه,attention character
342,إشارة تنبيه,attention signal
343,توهين,attenuation
344,معامل توهني,attenuation coefficient
345,ثابتة التوهني,attenuation constant
346,منحن التوهين,attenuation curve
347,تشوه التوهين,attenuation distortion
348,مسوي التوهين,attenuation equalizer
349,نسبة التوهين إلى اللغط (اختلاط الكلام) (ACR),Attenuation-to-Crosstalk Ratio
350,موهن,attenuator
351,تحكم في التوجه,attitude control
352,منظومة تحكم في التوجه,attitude control system
353,ساتل ذو توجه مستقر,attitude-stabilized satellite
354,خاصية,attribute
355,[طرفية] ATU-C,ATU-C
356,[طرفية] ATU-R,ATU-R
357,[لوحة أم [من النوع ATX,ATX motherboard
358,إنذار مسموع,audible alarm
359,محسن دوبلر مسموع(ADE),Audible Doppler Enhancer
360,نغمة مسموعة,audible tone
361,صوت ، سمعي,audio
362,موائمة صوت,audio adapter
363,مضخم صوتي,audio amplifier
364,عرض نطاق صوتي,audio bandwidth
365,لوحة صوت,audio board
366,تصوين سمعي,audio buffering
367,بطاقة صوت,audio card
368,كاست صوتي,audio cassette
369,قرص متراص صوتي,audio CD
370,قناة صوتية,audio channel
371,كودك (مرمز/مفكك ترميز) صوتي,audio codec
372,ضغط صوت,audio compression
373,نسخ صوت,audio dubbing
374,ملف صوتي,audio file
375,نسق ملف صوتي,audio file format
376,نسق الصوت,audio format
377,إطار صوتي,audio frame
378,تردد صوتي,audio frequency
379,هزاز بتردد صوتي,audio frequency oscillator
380,تراسل آني صوتي,audio instant messaging
381,نسق ملف التبادل الصوت (AIFF),Audio Interchange File Format (AIFF)
382,مأخذ صوت,audio jack
383,وسائط صوتية,audio media
384,توصيف تراسل صوتي (AMIS),Audio Messaging Interchange Specification
385,صوت عند الطلب,audio on demand
386,هزاز صوتي,audio oscillator
387,خرج صوتي,audio output
388,منفذ خرج صوتي,audio output port
389,استجابة صوتية,audio response
390,مخدم صوت,audio server
391,إشارة صوتية,audio signal
392,تشذير صوت وصورة (AVI),Audio Video Interleave (AVI)
393,سمعي-بصري,audio visual
394,علامة مائية للصوت,audio watermark
395,مدونة صوتية,audioblog
396,تدوين صوتي,audioblogging
397,مؤتمر صوتي,audioconference
398,ائتمار صوتي,audioconferencing
399,صوت يتبع صورة,audio-follow-video
400,تعديل الترددات الصوتية بالإزاحة,audio-frequency shift modulation
401,نسبة الإشارة إلى التداخل لتردد صوت,audio-frequency signal-to-interference ratio
402,بيانيات صوتية,audiographics
403,[تطبيق] Audiotex,Audiotex
404,مساعدات سمعية -بصرية,audio-visual aids
405,برمجيات تدقيق,audit software
406,سجل [معطيات لل] تدقيق,audit trail
407,وظيفة محلل لسجل التدقيق,audit trail analyzer function
408,وظيفة مؤرشف سجل التدقيق,audit trail archiver function
409,تدقيق,auditing
410,مدقق، مستمع,auditor
411,اتصالات مزيدة وبديلة (AAC),Augmentative and Alternative Communication
412,حقيقة واقعية مزيدة,augmented reality
413,حقيقة افتراضية مزيدة,augmented virtuality
414,يستيقن,authenticate (v)
415,هوية مستيقنة,authenticated identity
416,استيقان,authentication
417,خوارزمية استيقان,authentication algorithm
418,سلطة استيقان,authentication authority
419,شهادة استيقان,authentication certificate
420,عنصر استيقان,authentication element
421,تبادل [معلومات] الاستيقان,authentication exchange
422,ترويسة استيقان (AH),Authentication Header (AH)
423,معلومات الاستيقان,authentication information
424,بادئ الاستيقان,authentication initiator
425,مفتاح استيقان,authentication key
426,سياسة استيقان,authentication policy
427,مستجيب الاستيقان,authentication responder
428,مخدم استيقان,authentication server
429,نظام استيقان,authentication system
430,علام استيقان,authentication token
431,استيقان وتخويل ومحاسبة (AAA),"Authentication,Authorization and Accounting"
432,مستيقن,authenticator
433,استيقانية ، أصالة,authenticity
434,رماز استيقان,authenticode
435,استيقان,authentification
436,لغة تأليف,authoring language
437,برمجيات تأليف,authoring software
438,نظام تأليف,authoring system
439,مخدم مخول,authoritative server
440,ملف مرجعيات,authority file
441,تخويل,authorization
442,شهادة تخويل,authorization certificate
443,رماز تخويل,authorization code
444,سياسة تخويل,authorization policy
445,عرض نطاق مخول,authorized bandwidth
446,تردد مخول,authorized frequency
447,مستعم لمخول,authorized user
448,برمجيات تأليف,authorware
449,إجابة آلية,auto answer
450,كشف آلي ل(معدل) البود,auto baud detect
451,هتف آلي,auto dial
452,[تجهيزة ، برنامج] هتف آلي,auto dialer
453,ملء آلي,auto fill
454,تركيز آلي,auto focus
455,إشعار إدراج آلي,auto insert notification
456,تلقيم أسطر آلي,auto line feed
457,تسجيل دخول آلي,auto login
458,إنعاش آلي,auto refresh
459,إعادة إقلاع آليا,auto restart
460,[سمة] رسم خطوط آليا,auto trace
461,[برنامج] أوتوكاد,AutoCAD
462,تحويل مكتوب إلى منطوق آليا,autocasting
463,مرمز آلي,autocoder
464,عنوان IP للتشكيل الآل,autoconfiguration IP address
465,تصحيح آلي,AutoCorrect
466,ارتباط ذات,auto-correlation
467,[دارة] ارتباط ذات,autocorrelator
468,ترميز آلي,auto-encoding
469,فهرسة آلية,auto-indexing
470,تحميل آلي,auto-load
471,نظرية المؤتمتات,automata theory
472,نظام معلومات مؤتمت,automated information system
473,أمن نظم معلومات مؤتتة,automated information systems security
474,مكتب مؤتمت,automated office
475,تزويد مؤتمت,automated provisioning
476,راديو مؤتمت,automated radio
477,مراقبة أمنية مؤتتة,automated security monitoring
478,نظام تكتيكي مؤتمت للقيادة والسيطرة,automated tactical command and control system
479,صراف آلي,automated teller machine
480,توزيع مكالمات آليا (ACD),Automatic Call Distribution
481,إعادة الاتصال آليا,automatic callback
482,وحدة هتف آلي,automatic calling unit
483,تصنيف آلي,automatic classification
484,ترميز آلي,automatic coding
485,تحكم آلي في الازدحام (ACC),Automatic Congestion Control
486,معالجة آلية للمعطيات,automatic data processing
487,هتف آلي,automatic dialing
488,شبكة رقمية آلية,automatic digital network
489,محدد آلي للاتجاه,automatic direction finder
490,تصحيح آلي للأخطاء,automatic error correction
491,كشف آلي للأخطاء,automatic error detection
492,مقسم آلي,automatic exchange
493,تفاوض آلي حول السمات,automatic feature negotiation
494,تحكم آلي في التردد,automatic frequency control
495,تحكم آلي في الكسب (AGC),Automatic Gain Control
496,وضع وصالات آليا,automatic hyphenation
497,إنشاء آلي للروابط,automatic link establishment
498,محاسبة آلية للرسائل (AMA),Automatic Message Accounting
499,تبادل آلي للرسائل,automatic message exchange
500,تحكم آلي في التعديل,autom atic modulation control
501,توجيه آلي في الشبكات (ANR),Automatic Network Routing
502,محدد آلي للضجيج,automatic noise limiter
503,تحكم آلي في الطور,automatic phase control
504,إرسال آلي للصور,automatic picture transmission
505,تحديد آلي لعنوان IP خصوصي,automatic private IP addressing
506,إعادة الهتف آليا,automatic redial
507,إعادة آلية لتوليد المفاتيح من بعد,automatic remote rekeying
508,طلب آلي للتكرار,automatic request for repetition
509,دارة طلب هتف آليا,automatic ringdown circuit
510,انتقاء آلي للمسار,automatic route selection
511,اختبار مدول آليا (AST),Automatic Scheduled Testing
512,ربط آلي تتابعي,automatic sequential connection
513,معدات ابتدال آلي,automatic switching equipment
514,منظومة ابتدال آلية,automatic switching system
515,إعادة تشكيل آلية للمنظومة,automatic system reconfiguration
516,معدات اختبار آلي,automatic test equipment
517,توليد آلي لالخت بارات,automatic test generation
518,تتبع آلي,automatic tracking
519,شبكة صوت آلي (AUTOVON),AUTOmatic VOice Network
520,تحكم آلي في الجهارة (مستوى الصوت) (AVC),Automatic Volume Control
521,مشوش آلي البحث,automatic-search jammer
522,أتمتة (تحكم آلي),automation
523,لغة أتمتة,automation language
524,أتمتة,automatization
525,حوسبة مستقلة ذاتيا,autonomic computing
526,نظام مستقل ذاتيا,autonomous system
527,تشغيل تلقائي,AutoPlay
528,استقصاء تلقائي,autopolling
529,إعادة تشكيل آلية,autoreconfiguration
530,إعادة إقلاع آليا,autorestart
531,حفظ تلقائي,autosave
532,تحريك ذاتي,autoscroll
533,ضبط الحجم ذاتيا,autosizing
534,[برمجية] AutoSketch,AutoSketch
535,إجراء إقلاعي ذاتي,autostart routine
536,[سمة] رسم خطوط آليا,autotrace
537,محول ذاتي,autotransformer
538,تجذيع ذاتي,autotrunking
539,أوتوفون,AUTOVON
540,ذاكرة مساندة,auxiliary memory
541,قدرة مساندة,auxiliary power
542,[وسط] خزن مساند,auxiliary storage
543,جدول مساند,auxiliary table
544,مسوق AV,AV drive
545,معطل AV,AV Killer
546,منافذ AV,AV ports
547,مستقبل AV,AV receiver
548,متاحية,availability
549,معدل البتات المتاح,available bit rate
550,معدل الخلايا المتاح,available-cell-rate
551,كائن تخيلي (أفاتار),avatar
552,متوسط التدرج,average gradient
553,متوسط محتوى المعلومات,average information content
554,متوسط معدل [نقل] المعلومات,average information rate
555,متوسط مستوى الصور,average picture level
556,متوسط مدة النشدان,average seek time
557,مرشح توسيط,averaging filter
558,ملف AVI,AVI file
559,توجيه بالتحاشي,avoidance routing
560,ثابتة الانتشار المحوري,axial propagation constant
561,نسبة محاور,axial ratio
562,موضوعة,axiom
563,محور,axis
564,[نسق] AZERTY,AZERTY
565,[زاوية] السمت,azimuth
566,الحامل B,B Carrier
567,القناة B,B channel
568,الإطار B,B frame
569,شجرة B,B tree
570,نظام B/OSS,B/OSS
571,أشجار +B,B+-trees
572,لغط,babble
573,معتمد من BABT,BABT approval
574,[لوحة أم صغيرة [من النوع AT,baby AT motherboard
575,مخططات ابخان,Bachman diagrams
576,قفوي,back end
577,معالج قفوي,back end processor
578,تطبيق مكتب خلفي,back office application
579,لوحة خلفية,back panel
580,انعكاس راجع,back reflection
581,ربط خرج بدخل,back to back connection
582,فقار,backbone
583,مبدال فقاري,backbone switch
584,باب خلفي,backdoor
585,معالج قفوي,back-end processor
586,[إعادة] ملء ذاكرة,backfilling
587,الخلفية ، خلفي,background (n-adj)
588,ضجيج خلفي,background noise
589,طباعة خلفية,background printing
590,إجرائية خلفية,background process
591,معالجة خلفية,background processing
592,برنامج خلفي,background program
593,[شبكة] النقل الأساسي,backhaul
594,شبكة النقل الأساسي,backhaul network
595,ذاكرة مساندة,backing memory
596,مخزن مساند,backing store
597,إضاءة خلفية,backlit
598,مظهار ذو إضاءة خلفية,back-lit display
599,انسحاب [مؤقت],backoff
600,لوحة خلفية,backplane
601,انتشار مرتد,backpropagation
602,تبعثر مرتد,backscatter
603,مسرى خلفي,backside bus
604,خابية خلفية,backside cache
605,فص خلفي,backside lobe
606,مائلة معاكسة,backslash
607,[مفتاح] الرجوع,backspace
608,ربط خرج بدخل,back-to-back connection
609,تتبع رجوعي,backtracking
610,نسخة احتياطية,backup
611,صيغة Backus-Naur,Backus-Naur form
612,سلسلة رجوعية,backward chaining
613,قناة رجوعية,backward channel
614,متوافق رجوعيا,backward compatible
615,تصحيح رجوعي للخطأ,backward error correction
616,إعلام صريح رجوعي بالازدحام (BECN),Backward Explicit Congestion Notification
617,استعادة رجوعية,backward recovery
618,رقم تسلسلي رجوعي,backward sequence number
619,تشوير رجوعي,backward signalling
620,موجة رجوعية,backward wave
621,متوافق رجوعيا,backward-compatible
622,[بروتوكول] BACnet,BACnet
623,بكتريا (جرثوم),bacterium
624,كتلة تالفة,bad block
625,قطاع تالف,bad sector
626,مسلك تالف,bad track
627,شارة [تمييز],badge
628,ملف BAK,BAK file
629,خوارزمية المخبز,bakery algorithm
630,يوازن,balance (v)
631,توازن الفقد العائد,balance return loss
632,متوازن(بالنسبة إلى الأرضي),balanced (to ground) (adj)
633,متوازن,balanced (adj)
634,مضخم متوازن,balanced amplifier
635,دارات متوازنة,balanced circuits
636,رماز متوازن,balanced code
637,خط متوازن,balanced line
638,فرز بالمرج متوازن,balanced merge sort
639,معد لمتوازن,balanced modulator
640,خط إرسال متوازن,balanced transmission line
641,شبكة توازن,balancing network
642,طابعة ذات كرية,ball printer
643,متوازن إلى غير متوازن,balun
644,منطق BAN,BAN logic
645,نطاق,band
646,مرشح توقيف نطاق,band stop filter
647,ضجيج محدود النطاق,band-limited noise
648,ممرر نطاق,bandpass
649,مرشح تمرير نطاق,bandpass filter
650,مرشح تمرير نطاق,band-pass filter
651,محدد ومحرر نطاق,bandpass limiter
652,امتداد نطاق,bandspread
653,عرض النطاق,bandwidth
654,عرض نطاق(لتجهيزة),bandwidth (of a device)
655,عرض نطاق(لليف ضوئي),bandwidth (of an optical fiber)
656,تحصيص عرض نطاق,bandwidth allocation
657,آلية موازنة عرض نطاق,bandwidth balancing mechanism
658,ضغط عرض النطاق,bandwidth compression
659,محتكر عرض نطاق,bandwidth hog
660,مولع بعرض النطاق,bandwidth junkie
661,إدارة عرض النطاق,bandwidth management
662,عرض نطاق عند الطلب,bandwidth on demand
663,جداء عرض النطاق في المسافة,bandwidth-distance product
664,مرصف,bank
665,ابتدال المراصف,bank switching
666,[برنامج] طروادة المصرفي,banker Trojan
667,خوارزمية المصرفي,banker's algorithm
668,لافتة,banner
669,صفحة لافتة,banner page
670,مدور لافتات,banner rotator
671,[واجهة] BAPI,BAPI
672,مخطط قضباني,bar chart
673,رماز قضباني,bar code
674,لوحة جرداء,bare board
675,نظام أجرد,bare bones system
676,رقاقة جرداء,bare chip
677,قالب أجرد,bare die
678,بريد متخم,barfmail
679,مبدال ضغط,baroswitch
680,تشويش سدي,barrage jamming
681,طابعة ذات أسطوانة [محرفية],barrel printer
682,مزيح أسطواني,barrel shifter
683,عنوان قاعدي,base address
684,اتصالات قاعدية,base communications
