english,arabic,url,arabic_description
Basic Research,الأبحاث الأساسية,https://arabicglossary.dubaifuture.ae/ar/words/basic-research,الأبحاث الأساسية هي أبحاث تهدف إلى فهم الجوانب الأساسية من الظواهر العلمية بغض النظر عن التطبيق أو الاستخدام أو مجال الاهتمام. والأبحاث الأساسية هي عكس الأبحاث التطبيقية التي تهدف إلى إجراء الأبحاث من أجل التوصل إلى حلول للمشاكل.
X events (Black Swans),الأحداث المفاجئة (البجعات السوداء),https://arabicglossary.dubaifuture.ae/ar/words/x-eventsblack-swans,الأحداث المفاجئة هي أحداث غير متوقعة تؤدي إلى زيادة الأعباء على النظام وتعقّد الحالة الراهنة، وتنتج غالباً عن عامل خارجي عشوائي، إما طبيعي وإما بشري المنشأ.
Wild cards,الأحداث غير المتوقعة,https://arabicglossary.dubaifuture.ae/ar/words/wild-cards,الأحداث غير المتوقعة هي الأحداث ذات الاحتمالية المنخفضة والتأثير العالي طويل المدى، وتسمّى أيضاً بعوامل التغيير الجذري.
Super-earth,الأرض الهائلة,https://arabicglossary.dubaifuture.ae/ar/words/super-earth,كوكب خارجي ذو كتلة أعظم من كتلة الأرض، لكنه أقل حجمًا من العملاقين الثلجيين أورانوس ونبتون.
Nanoelectrodes,الأقطاب الكهربائية النانوية,https://arabicglossary.dubaifuture.ae/ar/words/nanoelectrodes,أقطاب كهربائية صغيرة مصنوعة من معادن أو مواد شبه موصلة لها أبعاد نموذجية تتراوح بين 1 و100 نانومتر.
Knowledge-based systems,الأنظمة القائمة على المعرفة,https://arabicglossary.dubaifuture.ae/ar/words/knowledge-based-systems,نظام حاسوبي يولد المعرفة ويستخدمها من مختلف المصادر والبيانات والمعلومات. وتساعد هذه الأنظمة في حل المشكلات، وخاصة المعقدة منها، بالاستعانة بمفاهيم الذكاء الاصطناعي. تستخدم هذه الأنظمة غالبًا في العمليات الهادفة لحل المشكلات، بالإضافة إلى دعم التعلم البشري وصنع القرارات واتخاذ الإجراءات.
Complicated systems,الأنظمة المعقدة,https://arabicglossary.dubaifuture.ae/ar/words/complicated-systems,تعرّف الأنظمة المعقدة بأنها نظم واضحة الحدود على الرغم من أنها معقدة التركيب. وهي لا تتمتع بالقدرة على التكيف مع التغييرات، فإن تعطّل عنصر من أي منها يتعطل النظام كاملاً. فهي أنظمة تعتمد على القواعد والتعليمات الواضحة للوصول إلى نتيجة ولديها درجة يقين عالية. فمثلاً، تعدّ الكاميرا الحديثة والقمر الاصطناعي والصاروخ الفضائي جميعاً أنظمة معقدة.
Complex systems,الأنظمة المعقدة المترابطة,https://arabicglossary.dubaifuture.ae/ar/words/complex-systems,الأنظمة المعقدة المترابطة تحتوي على عدد كبير من الأجزاء المتحركة والمتغيرة والقابلة للتكيف، فهي ديناميكية بطبيعتها وتتطلب تفكيراً منظومياً. لا يمكن فهمها بالكامل من خلال تجزئة مكوناتها لأنها ليست خطيّة. فمثلاً يُعد كلا المجتمع البشري ومستعمرة النحل نظاماً معقداً مترابطاً.
Weak Signals,الإشارات الضعيفة,https://arabicglossary.dubaifuture.ae/ar/words/weak-signals,الإشارات الضعيفة تحذيرات وأحداث وتطورات (خارجية أو داخلية) ما زالت في مرحلتها المبدئية فلا تتيح لنا تحديد التقديرات الدقيقة لتأثيرها أو القيام بردود الفعل اللازمة لها.
Bioluminescence,الإضاءة الحيوية,https://arabicglossary.dubaifuture.ae/ar/words/bioluminescence,إنتاج كائن حي للضوء الذي ينبعث منه بسبب التفاعلات الكيميائية التي تحدث داخله أو تصدر عنه.
Wireframe,الإطار الشبكي,https://arabicglossary.dubaifuture.ae/ar/words/wireframe,دليل مرئي يمثل الهيكل العظمي لموقع الويب. يتم إنشاء الإطار الشبكي بغرض ترتيب العناصر في الموقع لتحقيق هدف معين بأفضل طريقة.
Just-In-Time,الإنتاج في الوقت المحدد,https://arabicglossary.dubaifuture.ae/ar/words/just-in-time,مفهوم مستخدم في مجالات التصنيع والإنتاج وإدارة المخزون، ويعني استلام المدخلات عند الحاجة إليها عوضاً عن استلامها مقدماً، لخفض التكلفة وتوفير الوقت.
Computational Creativity,الابتكار الحوسبي,https://arabicglossary.dubaifuture.ae/ar/words/computational-creativity,القدرة على ابتكار حلول جديدة باستخدام الوسائل الحوسبية.
Trends,الاتجاهات,https://arabicglossary.dubaifuture.ae/ar/words/trends,تختلف الاتجاهات عن الاتجاهات الكُبرى بأنها محصورة في قطاع معين أو منطقة واحدة. قد يتّسم الاتّجاه بالقوّة أو بالضعف، وقد يكون متزايداً أو متناقصاً أو مستقراً. ولا نضمن استمرارية الاتّجاه الملاحظ من الماضي إلى المستقبل. وقد تتحوّل الاتجاهات إلى اتّجاهات كبرى إن أصبحت تحدث على نطاق عالمي.
Megatrends,الاتجاهات الكبرى,https://arabicglossary.dubaifuture.ae/ar/words/megatrends,تعرّف الاتجاهات الكبرى بأنها تحولات عالمية طويلة المدى تؤثر على جميع قطاعات المجتمع وعلى جميع المستويات.
Brain to brain communication,الاتصال بين دماغين,https://arabicglossary.dubaifuture.ae/ar/words/brain-to-brain-communication,اتصال مباشر بين دماغي حيوانين.
Connectionism,الارتباطية,https://arabicglossary.dubaifuture.ae/ar/words/connectionism,مدرسة في العلم المعرفي تتضمن العمليات العقلية البشرية ويمكن تفسيرها باستخدام النمذجة الحاسوبية للشبكات العصبية ويعتقد أنها تحاكي أفعال الخلايا العصبية المرتبطة في الدماغ
Sustainability,الاستدامة,https://arabicglossary.dubaifuture.ae/ar/words/sustainability,قدرة النظم الحيوية والحضارة البشرية على التعايش معًا.
Spatial-temporal reasoning,الاستدلال المكاني-الزماني,https://arabicglossary.dubaifuture.ae/ar/words/spatial-temporal-reasoning,هو مجال للذكاء الاصطناعي المستمد من مجالات علوم الحاسوب والعلوم المعرفية وعلم النفس المعرفي.
Abductive reasoning,الاستدلال المنطقي,https://arabicglossary.dubaifuture.ae/ar/words/abductive-reasoning,استخدام المعرفة الحالية للوصول إلى استنتاجات أو توقعات أو وضع تفسيرات. ويبدأ بمجموعة غير كاملة من الملاحظات للوصول إلى أقرب التفسيرات.
Stochastic optimization,الاستمثال الاحتمالي,https://arabicglossary.dubaifuture.ae/ar/words/stochastic-optimization,طريقة تحسين تولد وتستخدم المتغيرات العشوائية.
Automated reasoning,الاستنتاج المؤتمت,https://arabicglossary.dubaifuture.ae/ar/words/automated-reasoning,عملية عامة تمنح خوارزميات تعلم الآلة إطاراً منظماً لوضع نهج لحل المشكلات.
Blue Economy,الاقتصاد الأزرق,https://arabicglossary.dubaifuture.ae/ar/words/blue-economy,يشير الاقتصاد الأزرق إلى القطاع الاقتصادي القائم على الاستخدام المستدام لموارد المحيطات من أجل كسب العيش وتوليد الإيرادات.
Circular Economy,الاقتصاد الدائري,https://arabicglossary.dubaifuture.ae/ar/words/circular-economy,في الاقتصاد الدائري، يتم استخدام السلع والخدمات لأطول فترة ممكنة ويتم تجنب جميع أشكال الهدر أو إعادتها مرة أخرى إلى سلسلة القيمة الخاصة بإنتاج السلع أو الخدمات.
Motion capture,الالتقاط البصري للحركة,https://arabicglossary.dubaifuture.ae/ar/words/motion-capture,عملية تسجيل حركة الأشياء أو الأشخاص. تُستخدَم في التطبيقات العسكرية والترفيهية والرياضية والطبية وللتحقق من صحة رؤية الحواسيب والروبوتات.
Backpropagation,الانتشار الخلفي,https://arabicglossary.dubaifuture.ae/ar/words/backpropagation,أسلوب تعلم خاضع للإشراف للشبكات العصبية يحسب تدرج النسب لترجيح المتغيرات المختلفة. وتمثل التسمية اختصارًا لمصطلح الانتشار العكسي للأخطاء، وتعني حساب الخطأ عند المخرجات وتوزيعه عكسيًا عبر طبقات الشبكة
Teleportation,الانتقال الآني,https://arabicglossary.dubaifuture.ae/ar/words/teleportation,الانتقال من مكانٍ إلى آخر بصورة لحظية، ويرتبط ذلك بالخيال العلمي.
Brute-force search,البحث الشامل,https://arabicglossary.dubaifuture.ae/ar/words/brute-force-search,تقنية عامة لحل المشكلات تتضمن تحديد جميع الحلول المحتملة وتقييم درجة وفاء كل حل بمتطلبات المشكلة.
Search for Extraterrestrial Intelligence,البحث عن أشكال الحياة الذكية خارج الأرض,https://arabicglossary.dubaifuture.ae/ar/words/search-for-extraterrestrial-intelligence,هو مصطلح عام لعمليات البحث العلمي عن حياة ذكية خارج كوكب الأرض، وتشمل على سبيل المثال مراقبة الإشعاع الكهرومغناطيسي بحثًا عن علامات الإرسال من الحضارات على الكواكب الأخرى.
Declarative programming,البرمجة التصريحية,https://arabicglossary.dubaifuture.ae/ar/words/declarative-programming,نموذج البرمجة الذي يحدد فيه المبرمج ما يجب أن ينجزه البرنامج دون تحديد كيفية تنفيذه.
Abductive logic programming,البرمجة المنطقية الاستدلالية,https://arabicglossary.dubaifuture.ae/ar/words/abductive-logic-programming,إطار لتمثيل المعرفة عالية المستوى يستخدم لحل المشكلات اعتمادًا على المنطق الاستدلالي. وهو يعزز البرمجة المنطقية العادية من خلال تعريف بعض المسندات بصورةٍ غير كاملة، فتصبح مسندات قابلة للاستدلال. وتحل المشكلة من خلال اشتقاق فرضيات على هذه المسندات القابلة للاستدلال. وقد تكون هذه المشكلات إما ملاحظات تحتاج إلى شرح (مثلما نجد في الاستدلال الكلاسيكي) أو أهداف يجب تحقيقها (مثل الحال في البرمجة المنطقية العادية)
Carbapenem resistant Enterobacteriaceae (CRE),البكتيريا المعوية المقاومة للكاربابينيم,https://arabicglossary.dubaifuture.ae/ar/words/carbapenem-resistant-enterobacteriaceae-cre,نوع من البكتيريا
Central Bank,البنك المركزي,https://arabicglossary.dubaifuture.ae/ar/words/central-bank,البنك المركزي هو مؤسسة عامة تدير العملة والاستقرار المالي من خلال تحديد أسعار الفائدة في أغلب الأحيان. ويُُشار إلى ذلك أيضاًً باسم السياسة النقدية للدولة.
Big data,البيانات الضخمة,https://arabicglossary.dubaifuture.ae/ar/words/big-data,مصطلح يشير إلى مجموعة بيانات يصعب تخزينها أو معالجتها بالأدوات أو التطبيقات التقليدية بسبب ضخامتها وتعقيدها
Carbon-dating,التأريخ باستخدام الكربون,https://arabicglossary.dubaifuture.ae/ar/words/carbon-dating,حساب عمر الأجسام القديمة من خلال قياس كمية صور الكربون المختلفة الموجودة في الجسم.
Urbanisation,التحضر,https://arabicglossary.dubaifuture.ae/ar/words/urbanisation,انتقال الناس إلى المدن وزيادة حجم التطور واتساعه، أو نمو المراكز الحضرية وتحولها إلى مراكز عالمية محورية.
Transcranial magnetic stimulation,التحفيز المغناطيسي عبر القحف,https://arabicglossary.dubaifuture.ae/ar/words/transcranial-magnetic-stimulation,طريقة تحفيز دماغي غير باضعة يُستخدم فيها مجال مغناطيسي متغير لإنتاج تيار كهربائي في منطقة معينة من الدماغ بالحث الكهرومغناطيسي.
Intelligent control,التحكم الذكي,https://arabicglossary.dubaifuture.ae/ar/words/intelligent-control,نوع من تقنيات التحكم تستخدم أساليب حوسبة الذكاء الاصطناعي مثل الشبكات العصبية الاصطناعية واحتمالات بيشان والمنطق الضبابي وتعلم الآلة والتعلم المعزِّز والحوسبة التطورية وخوارزميات الجينات.
Stochastic semantic analysis,التحليل الدلالي العشوائي,https://arabicglossary.dubaifuture.ae/ar/words/stochastic-semantic-analysis,هو نهج يستخدم في علوم الحاسوب كدلالة لفهم اللغة الطبيعية. تستخدم النماذج العشوائية عمومًا تعريف مقاطع الكلمات كوحدات دلالية أساسية للنماذج الدلالية، وفي بعض الحالات تتضمن نهجًا ثنائي الطبقات.
Morphological analysis,التحليل الشكلي,https://arabicglossary.dubaifuture.ae/ar/words/morphological-analysis,التحليل الشكلي تقنية لدراسة المشكلات المعقدة بطريقة ذات هيكلية محددة.
Cluster analysis,التحليل العنقودي,https://arabicglossary.dubaifuture.ae/ar/words/cluster-analysis,تقنية تصنيف إحصائي لمعرفة انتماء الأفراد لمجموعات مختلفة من خلال تنفيذ مقارنات كمية ذات خواص متعددة.
Predictive Analytics,التحليلات التنبؤية,https://arabicglossary.dubaifuture.ae/ar/words/predictive-analytics,استخدام الإحصاءات والمحاكاة لتوقع الأداء المستقبلي بناءً على البيانات الحالية والتاريخية.
Biochemical conversion,التحول الكيميائي الحيوي.,https://arabicglossary.dubaifuture.ae/ar/words/biochemical-conversion,يتضمن استخدام إنزيمات البكتيريا والكائنات الدقيقة الأخرى لتحليل الكتلة الحيوية من خلال عملية الهضم اللاهوائي أو التخمر أو التسميد.
Automated planning and scheduling,التخطيط المؤتمت,https://arabicglossary.dubaifuture.ae/ar/words/automated-planning-and-scheduling,التخطيط المؤتمت هو فرع من الذكاء الاصطناعي يركز على تحقيق الاستراتيجيات أو تسلسل الإجراءات، وينفذ عبر برمجيات عملاء أذكياء وروبوتات مستقلة ومركبات ذاتية القيادة. وخلافًا لمشكلات التحكم والتصنيف الكلاسيكية، فإن الحلول معقدة ويجب اكتشافها وتحسينها في فضاء متعدد الأبعاد.
Cultural Heritage,التراث الثقافي,https://arabicglossary.dubaifuture.ae/ar/words/cultural-heritage,يشمل التراث الثقافي المواقع والأشياء والممارسات التي يعتبرها المجتمع قديمة وتستحق الحفاظ عليها. ويمكن أن تكون رمزية أو تاريخية أو فنية أو جمالية أو علمية أو غيرها.
Backward chaining,التسلسل الخلفي,https://arabicglossary.dubaifuture.ae/ar/words/backward-chaining,طريقة استنتاج تعمل في خلف الهدف. وتستخدم في النظرية الآلية ومحركات الاستنتاج ومساعدات الإثبات وتطبيقات الذكاء الاصطناعي الأخرى.
Search Engine Marketing (SEM),التسويق عبر محركات البحث,https://arabicglossary.dubaifuture.ae/ar/words/search-engine-marketing,شكل من أشكال التسويق عبر شبكة الإنترنت يتضمن الترويج لمواقع الشبكة من خلال زيادة ظهورها في صفحات نتائج محرك البحث بشكل أساسي من خلال الإعلانات المدفوعة.
Responsive web design,التصميم المتجاوب,https://arabicglossary.dubaifuture.ae/ar/words/responsive-web-design,هي طريقة لتصميم صفحات مواقع الإنترنت لنتناسب مع مجموعة متنوعة من الأجهزة والنوافذ أو أحجام الشاشات.
Computer-aided design (CAD),التصميم بمساعدة الحاسوب,https://arabicglossary.dubaifuture.ae/ar/words/computer-aided-design-cad,استخدام البرمجيات الحاسوبية في التصميم. ويستخدم المهندسون والمصممون هذه البرمجيات لتطوير نماذج ثنائية وثلاثية الأبعاد.
Statistical classification,التصنيف الإحصائي,https://arabicglossary.dubaifuture.ae/ar/words/statistical-classification,عملية تصنيف بيانات جديدة ضمن مجموعة من الأصناف بناءً على مجموعة تدريب تحتوي على بيانات معلومة التصنيف.
Foveated rendering,التصيير المركزي للصورة,https://arabicglossary.dubaifuture.ae/ar/words/foveated-rendering,تقنية تستخدم متتيع للعين مثبت في نظارة واقع افتراضي لتقليل حمل التصيير عبر تقليل جودة الصورة في الرؤية المحيطية.
Humanisation,التوسع البشري,https://arabicglossary.dubaifuture.ae/ar/words/humanisation,النمو الهائل لسكان العالم وتأثيراته على التحضر والضغوط التي يخلفها على البيئة.
Technification,التوسع التقني,https://arabicglossary.dubaifuture.ae/ar/words/technification,اعتماد التقنيات على نطاق واسع لتغيير طريقة عيشنا وعملنا وتأدية أعمالنا وقيامنا بالأنشطة الاقتصادية وما شابه ذلك.
Fourth industrial revolution,الثورة الصناعية الرابعة,https://arabicglossary.dubaifuture.ae/ar/words/fourth-industrial-revolution,مصطلح يصف ذوبان الفوارق البارزة بين العوالم الفيزيائية والرقمية والبيولوجية نتيجة لتقدم تقنيات الذكاء الاصطناعي وإنترنت الأشياء وغيرها من التقنيات.
Perihelion,الحضيض الشمسي,https://arabicglossary.dubaifuture.ae/ar/words/perihelion,أقرب نقطة في مدار كوكب أو كويكب أو مذنب إلى الشمس.
SLD resolution (Selective Linear Definite clause resolution),الحل المشروط بمعرّف خطي انتقائي,https://arabicglossary.dubaifuture.ae/ar/words/sld-resolution,هو قاعدة الاستدلال الأساسية المستخدمة في البرمجة المنطقية، وتعد تأكيدًا لقوانين هورن ودحضًا لها في الوقت ذاته.
Convection,الحمل الحراري,https://arabicglossary.dubaifuture.ae/ar/words/convection,حركة الغازات أو السوائل التي تتضمن انتقال الأجزاء الساخنة إلى أعلى والباردة إلى أسفل.
Cloud Computing,الحوسبة السحابية,https://arabicglossary.dubaifuture.ae/ar/words/cloud-computing,المصادر والأنظمة الحاسوبية المتوفرة تحت الطلب عبر الشبكة لتوفير عدد من الخدمات الحاسوبية المتكاملة. وتشمل تلك الموارد مساحة لتخزين البيانات والنسخ الاحتياطي والمزامنة الذاتية بالإضافة إلى معالجة البيانات الضخمة.
Light-based computing,الحوسبة الضوئية,https://arabicglossary.dubaifuture.ae/ar/words/light-based-computing,ترددات ضوئية مرئية تستخدم كبدائل حاسوبية لقيم في منصة حاسوبية. ويعبر كل تردد عن قيمة حسابية أو حالة أو ما شابه ذلك، وهو قابل للدمج مع ترددات أخرى لتشكيل محصلة من الترددات الضوئية التي تعبر قيمتها النهائية عن عملية حاسوبية، كالجمع أو طرح أو ما شابه.
Photonic Quantum Computing,الحوسبة الكمومية الضوئية,https://arabicglossary.dubaifuture.ae/ar/words/photonic-quantum-computing,شكل من أشكال الحوسبة الكمومية يتمتع بخواص منخفضة الضوضاء ويقدّم سهولة في المعالجة على مستوى الفوتون الواحد.
Soft computing,الحوسبة اللينة,https://arabicglossary.dubaifuture.ae/ar/words/soft-computing,مجموعة من التقنيات الحسابية القائمة على الذكاء الاصطناعي لاتخاذ قرارات بشرية والاختيار الطبيعي الذي يوفر حلًا سريعًا وفعالًا من حيث التكلفة لمشاكل معقدة للغاية لا توجد لها صيغ تحليلية بسبب الحاجة إلى عمليات حاسوبية صعبة.
Autonomic computing,الحوسبة المؤتمتة,https://arabicglossary.dubaifuture.ae/ar/words/autonomic-computing,هي قدرة الحاسوب على التحكم في ذاته عبر تقنيات تكيفية تزيد من قدرات الحوسبة وتقلل من الوقت الذي يحتاجه اختصاصيو الحاسوب لحل صعوبات النظام أو إجراء عمليات الصيانة الأخرى مثل تحديثات البرمجيات.
Ambient Computing,الحوسبة المحيطة,https://arabicglossary.dubaifuture.ae/ar/words/ambient-computing,مصطلح يجمع مفاهيم عديدة. ويتضمن مزيجاً من الأجهزة والبرمجيات وخبرة المستخدم والتفاعل بين الإنسان والآلة والتعلم. وتصبح جميع هذه الأشياء فكرة استخدام الحاسوب أو جهاز متصل بالإنترنت دون الحاجة إلى الوعي.
Cognitive computing,الحوسبة المعرفية,https://arabicglossary.dubaifuture.ae/ar/words/cognitive-computing,التقنيات التي تعتمد على الأساسيات العلمية للذكاء الاصطناعي ومعالجة الإشارات والتعلم الآلي والاتصال بين الإنسان والحاسوب ومعالجة اللغات الطبيعية وغيرها.
Server Side Computation,الحوسبة ضمن المخدم,https://arabicglossary.dubaifuture.ae/ar/words/server-side-computation,تعني فكرة تحديد موقع عمليات الحوسبة بطريقة فعالة أكثر بتنفيذها في الموقع ذاته الذي تخزن فيه مجموعات البيانات المعالجة. وكان هذا يعني وجود مخدم ينفذ عمليات الحوسبة لأنه يتحكم بمجموعة البيانات المعنية.
Photovoltaics,الخلايا الكهروضوئية,https://arabicglossary.dubaifuture.ae/ar/words/photovoltaics,أحد فروع التقنية المختص بإنتاج التيار الكهربائي عند نقاط الاتصال مادتين.
Pathfinding,الخوارزميات الاستطلاعية,https://arabicglossary.dubaifuture.ae/ar/words/pathfinding,التخطيط بواسطة تطبيق حاسوبي لأقصر طريق بين نقطتين. وهو خيار عملي لحل المتاهات.
Computational humourhumour,الدعابة الحوسبية,https://arabicglossary.dubaifuture.ae/ar/words/computational-humourhumour,مجموعة فرعية من اللغويات الحاسوبية والذكاء الاصطناعي التي تعتمد على استخدام الحواسيب في أبحاث الدعابة.
MOOC,الدورة التدريبية المفتوحة على الإنترنت,https://arabicglossary.dubaifuture.ae/ar/words/mooc,الدورة التدريبية المفتوحة على الإنترنت هي دورة تدريبية عبر الإنترنت تهدف إلى المشاركة غير المحدودة والوصول المفتوح عبر الويب.
Advanced machine intelligence,الذكاء الآلي المتقدم,https://arabicglossary.dubaifuture.ae/ar/words/advanced-machine-intelligence,الذكاء الآلي المتقدم نتاج خوارزميات وبيانات وقوة معالجة تتيح للحواسيب التعلّم من البيانات وتحليل مجموعات ضخمة من البيانات ونمذجتها بسرعة لحل المشكلات بطريقة متقدمة وإنجاز المهام المعقدة.
Artificial intelligence,الذكاء الاصطناعي,https://arabicglossary.dubaifuture.ae/ar/words/artificial-intelligence,قدرة الآلة على محاكاة السلوك البشري الذكي.
Nouvelle AI,الذكاء الاصطناعي الحديث,https://arabicglossary.dubaifuture.ae/ar/words/nouvelle-ai,نهج للذكاء الاصطناعي ابتكره العالم الأسترالي الأمريكي رودني بروكس في مختبر الذكاء الاصطناعي في معهد ماساتشوستس للتقنية. يختلف الذكاء الاصطناعي الحديث عن الذكاء الاصطناعي القوي الذي يركز على الأداء ذي المستوى البشري، إذ يهدف إلى تقديم أداء بمستوى أداء الحشرات. يرفض الذكاء الاصطناعي الجديد اعتماد الذكاء الاصطناعي الرمزي على بناء نماذج داخلية للواقع.
Symbolic artificial intelligence,الذكاء الاصطناعي الرمزي,https://arabicglossary.dubaifuture.ae/ar/words/symbolic-artificial-intelligence,فرع من فروع الذكاء الاصطناعي يحدد بوضوح قواعد سلوك برامج الحاسوب.
Distributed artificial intelligence,الذكاء الاصطناعي الموزع,https://arabicglossary.dubaifuture.ae/ar/words/distributed-artificial-intelligence,نوع من الذكاء الاصطناعي يتضمن فئة من التقنيات والوسائل التي تتضمن ذكاء السرب والتقنيات متعددة العناصر. ويركز على تطوير حلول موزعة لمشكلةٍ معينة.
Computational intelligence,الذكاء الحوسبي,https://arabicglossary.dubaifuture.ae/ar/words/computational-intelligence,فرع  من الذكاء الاصطناعي يهدف إلى ابتكار نهج جديد لتحليل المعالجة المرنة للمعلومات المرتبطة بالإنسان مثل الإحساس والفهم والتعلم والإدراك والتفكير.
