Abortion,إجهاض
Board-game,لعبة الضامة
Brain Mirror,مرﺁة الدماغ
Bugbear,صعوبة/ عائق/ مشكلة
Bulk,حجم/ جسم
Burrow,جحر
Capitalism,مذهب الرأسمالية
Cardinal number,عدد أصلي
Catch,صعوبة مخبوءة
Categorical imperative,أمر قطعي
Category,مقولة
Causal connection,تعالق سببي
Causality,السببية
Causally determined,اقتضاء سببي
Cause,سبب/ علة
Censure,لوم/ نقد/ استهجان
Cerebration,نشاط العقل/ عمله
Change of aspects,تغير المظاهر
Chaos,شواش
Character,طبع
Characteristic,ميزة/ سمة/ خاصية
Chess-game,لعبة الشطرنج
Choice,اختيار
Circumlocution,لف ودوارن
Circumstance,ظرف/ حيثية
Citizen,مواطن
Civic,مدني
Civil Rights Movement,حركة الحقوق المدنية
Civility,كياسة (لياقة)
Claim,زعم/ ادعاء
Class,فئة (مجموعة)
Classical,كلاسيكي (تقليدي)
Clause,جميلة
Clear view/Survey,شمولي، شمولية
Clumps,مجموعات
Codex,مخطوطة
Coercion,قهر
Coextensive (Universally Equivalent),تساو ماصدقي (تكافؤ كلي)
Cognition,معرفة/ إدراك
Cognitive,معرفي/ إدراكي
Cognitive (Epistemic) Primacy,أسبقية معرفية
Cognitive (Epistemic) Value,قيمة معرفية
Coherence,تماسك
Color Solid,جسم الألوان
Color-Blindness,عمى الألوان
Combination,توافقيات
Commitment,التازم
Common Assets,حيازات مشتركة
Communitarism,جماعاتية
Community,متحد (اجتماعي)/ جماعة
Comparison,مقارنة
Compensate,يعوض
Complicated form of life,شكل حياة معقد
Comprehensive,شمولي
"Comprehensive Moral/ or convictions
Values",قيم (قناعات) أخلاقية كلية
Conceit,تصور/ خيال/ وهم
Conceive (to),تصور/ توهم
Concept,تصور (عقلي)/ مفهوم
Conception,مفهوم(عقلي)
"Conception Instrumental/ Constitutive/
Affective",تصور: أداتي/ تكويني/ وجداني
Conceptual,مفهوميا
Condition,شرط
Condition Sufficient/ Necessary,شرط كافي وضروري
Conditioned,مشروط
Conduct,سيرة
Conflation,دمج
Confusion,شبه/ اشتباه
Confusion of Spheres,تداخل دوائر
Congruent,تكافؤ/ متكافئ
Conjecture,تخمين
Conjunction,اقتران/ أداة
Connected,مترابط
Connection,ارتباط/ ترابط
Conscience,ضمير (وجدان)
Consciousness in General,وعي كلي
Conscription,تجنيد إلزامي
Consensus,إجماع
Consent,رضى/ قبول أو موافقة
Consequence,استتباع
Consequentialism,مبدأ العبرة بالنتيجة
Consistency,اتساق
Constancies,ثوابت
Constant Conjunction,اقتران ثابت
Constant Logical/ Extralogical,ثابت (منطقي/ غير منطقي)
Constituent of an Experience,مكونالتجربة
Constituent parts,عناصر متممة
Constitution,قانون أساسي (دستور)
Constitution Theory,نظرية البناء
Constitutive Possession,حيازة تكوينية
Constitutive Sense,معنى تكويني
Constraint,إكاره
Construction,بناء
Construction List,قائمة البناء
Construction of the sentence,بنية القضية
Construction- Principle,مبدأ البناء
Construction Rule,قاعدة البناء
Constructional Definition,تعريف البناء
Constructional Language,لغة بنائية
Constructive Operation,عملية البناء
Constructivism,بنائية/ إنشائية
Contingency,حادث عارض(طارئ/ )مصادفة/ عرض
Continuous seeing,رؤية متواصلة
Contract,عقد
"Contract Social - Hypothetical - Actual -
Real",عقـد اجتماعي - افتراضي - فعلي
Contradiction (Logical),تناقض (منطقي)
Conundrum,أحجية/ مشكلة محيرة
Converse,عكس
Converse proposition,قضية ارتجاعية
Cooperation,تعاون
Co-Ordinates,إحداثيات
Copy,نسخة مرسومة
Corollary,نتيجة
Correlate,ترابط
Correlation,ترابط (تطابق)
Correlative,مضايف
Corresponding,طابق/ يطابق
Corroboration,تعزيز/ تثبيت
Cortex,لحاء
Courage,شجاعة
Cramp,مغص/ تشنج
Craving,توق شديد
Criterion,مقياس
Criterion for seeing,معيار رؤية
Critique of language,نقد اللغة
Crust,وعاء زجاجي (بخاصة للماء المقدس)
Cult,فرقة دينية
Cultural Basis,أساس ثقافي
Cultural Sciences,علوم ثقافية
Culture,ثقافة
Curiosity,فضول/ حرص/ وسوسة
Curve,خط بياني منحن
Custom,عادة
Customary Conjunction,اقتران العادة
Cyrillic,السيريلية
Darkening,تعتيم
Data,مسلمة علمية
Dawning,الحضور الفجائي
Debate,مجادلة (مناقشة)
Decidability,قابلية للبت
Decisions,قرارات/ تقريرات
Deduction of Construction Rules,استنباط قواعد البناء
Deduction of Theorems,استنباط المبرهنات
Deep Grammar,نحو عميق
Definite description,رسم محدد
Definite Description/ characterization,وصف محدد
Definition,تفسير
Definition in Use,تعريف الاستعمال
Demonstrative,برهاني
Deontology,أخلاق واجب
Derivation,اشتقاق/ استنباط/ نقل
Derived,مشتق / مستفاد
Description,وصف
Desert,استحقاق
Design,تصميم/ غرض
Designation,تعيين/ إشارة
Designation Relation,علاقة التعيين
Detachment,تجرد
Deviant,منحرف(وبخاصة المنحرفجنسيا)
Dictum,قول مأثور/ مثل
Dignity,كارمة
Disarray,فوضى/ تشوش
Discourse,خطاب
Disposition,ميل/ نزعة/ مازج/ سجية/ استعداد
Dispossession,تجريد/ من حيازة
Dispute,مشاجرة/ خصومة
Distinct,متميز
Distribution,توزيع
Distributive Justice,عدالة توزيعية
Division of an Elementary Experience,تقسيم عنصر أولي
Divorce,طلاق
Documentation (Relation),شهادة (علاقة)
Dogmatism,دوغمائية
Doing a portrait,رسم صورة شخصية
Doing/ Verb,فعل
Double cross,صليب مزدوج
Doubt,شك
Drive,نزعة/ غريزة
Dualism (Mind-Body),نزعة ثنائية (الفكر والجسد)
Dubiety,شك
Duration,ديمومة
Duty,واجب
Easy Philosophy,فلسفة بسيطة
Ecstasy,ابتهاج غامر
Ect.,إلخ
Effect,معلول/ نتيجة/ مفعول/ أثر
Efficacy,فعالية/ قدرة على التأثير
Egalitarianism,مساواتية
Egocentric,تمركز حول الذات
Elections,انتخابات
Element (Member) of a Class,عنصر الفئة
Elementary Experiences,تجارب أولية
Elimination of an Object Symbol,حذف رمز الموضوع
Elimination of the Basic Relation,حذف العلاقة الأساسية
Elliptical sentence,قضية مختزلة
Emanation,فيض
Empathy,تعاطف/ حدس
Empirical,تجريبي
Empirical Concept,مفهوم تجريبي
Empirical Experience,تجربة معيشة
Empirical Sciences,علوم تجريبية
Empiricism,نزعة تجريبية
Encapsulation,تغليف
Encumbered Person,شخص/ ذات مثقل
Endearments,معطيات
Energy,فاعلية
Enquiry,تحقيق/ بحث
Entertaining,تفحص
Entitlement,أهلية (صفة من الصفات)/تخويل
Envy,حسد
Epistemic Logic,منطق معرفي
Epistemological Subject,ذات عارفة
Epistemology,نظرية المعرفة
Equality,مساواة/ تساو
Equanimity,رباطة جأش/ اتازن
Equilibrium,توازن
Equivalence,تكافؤ
Essence,جوهر
Essence of negation,جوهر النفي
Essential,جوهري
Esthetic Content,محتوى جمالي
Esthetic Value,قيمة جمالية
Esthetics,علم الجمال
Ethics,علم الأخلاق
Event,حدث
Evidence,دليل/ بينة/ في المحاكم
Evidence,قرينة/ دليل / بينة
Exclamation,صيحة
Existence,وجود عيني
Existence (Logical),وجود (منطقي)
Expectation (s),توقع: تطلعات
Experience,معيش (واقع)/ تجربة
Experiential proposition,قضية تجريبية
Experiment,تجريب/ تجربة (يقومب…)
Experimental investigation,بحث تجريبي
Experimentation,تجربة
Explicit Definition,تعريف صريح
Expression,عبارة /قول/ منطوق
Expression Relation,علاقة التعبير
Expression/ Utterance,تعبير
Expressive Motion,حركة تعبيرية
Extension,امتداد
Extension/ Extensional,ماصدق/ ماصدقي
Extensional Logic,منطق ماصدقي
Extensional semantics,علم الدلالة الماصدقي
Extensionality/ Thesis of,أطروحة الماصدقية
Extensive,امتدادي
Extensive Abstraction,تجريد امتدادي
Extrapolation,استقراء من ملاحظات
Extravagant,متطرف/ متهور
Fact,واقعة
Fact of Reasonable Plurality,واقع تعددية معقولة
Faculty,قوة/ ملكة عقلية/ ملكة
Faint,ضامر
Fair,منصف
Fairness,إنصاف
Family resemblances,شبه عائلي
Fancy,خيال/ وهم
Feat,عمل فذ
Federalist,اتحادي(فدارلية)
Feeling,شعور
Fetus,جنين
Fiction,تخيل/ افتراض
Fidelity,دقة
First-Order Principles,مبادئ من المرتبة الأولى
Flair,نزعة/ ميل
Force,قوة
Form of life,شكل حياة
Form of representation,شكل عرض
Formal,صوري
Formation of concepts,تكوين المفاهيم
Foundation,أساس
Founded Relation Extension,علاقة ماصدقية مؤسسة
Framework,هيكل
Franchise,حق الانتخاب
Fraternity,أخوة
Fratricidal,قاتل الأخ أو الأخت
Freedom/ liberty,حرية
Free-Thinker,مفكر حري
Friendship,صداقة
Function/ Functional Dependency,دالة/ تبعية دالية
Fundamental Propositional Function,دالة قضوية أساسية
Fuss,ضجة
Fuzzy-Logic,منطق الإبهام
Gadget,أداة/ جزء من ﺁلة
Galaxy,مجرة
Gambit,مناورة
Gamut,سلسلة كاملة/ سلم النغم
Garb,ملابس
Genealogy of Concepts,جينيالوجيا المفاهيم
General semantics,علم الدلالة العام
Generation,جيل (من البشر)
Genetics,علم الوارثة
Genidentical,هوية أصلية
Genre-picture,صورة من الحياة اليومية
Genuine name,إسم حقيقي
Gestalt,غشطالت/ شكل (صيغة)
Going-by-the-sign,امتثال- للإشارة
Good,خير (أو سلعة)
Good life,حياة خيرة
Goof,أبله/ أحمق
Grammatical difference,فوارق نحوية
Groan,أنين/ تأوه
Ground,سبب
Ground,مبرر
Grounds,أرضية/ أرضيات/ أسباب
Habit,إلف
Habitat,بيئة الحيوان
Hangover,أثر/عادة من الماضي
Hearer,متلقي
Hedonism,مذهب المتعة
Hetero psychological,نفسي غيري
Heteronomy,تبعية
Heteronymous,تابع
Heterosexuality,اشتهاء المغاير
Higher animals,مقدمات
Hilarity,مرح صاخب
Hindsight,إدراك مؤخر
Hocus-Pocus,شعوذة
Homogeneous Relation,علاقة متجانسة
Homonymy,مشترك لفظي
Homosexuality,اشتهاء المثل
Honest,صدوق
Human Nature,طبيعة إنسانية
Human Testimony,شهادة إنسانية
Humors,أخلاط
Husk,قشرة
Hybridization,تهجين
Hypostatization,تشييء المجرد
Hypostatize,أقنمة
i.e.,أي
Iconoclasm,تحطيم التماثيل الدينية/ مهاجمة المعتقدات التقليدية
Idea,فكرة
Ideal,مثل/ مثالي
Ideal numerals,علامة عددية مثالية
Ideal of Autonomy,غاية الاستقلالية
Ideal of Reciprocity,غاية المعاملة بالمثل
Idealism,مثالية
Idealists,مثاليين
Identical,متماه
Identical Place,مواضع متماثلة
Identity,هوية/ تماه /عينيه
If-Feeling,شعور ب«إن»
Ignorance,جهل
Illusion,وهم
Imaginability,تصورية
Imagination,مخيلة/ خيال
Imbedded,مطمور
Imperfection,نقصان
Implication,لزوم
Implicit Definition,تعريف مضمر
Imponderable,لا تقوم
Imposture,خداع/ دجل
Impression,انطباع
Inarticulate,غير منطوق
Incipiency,بدء/ ابتداء
Inclination (s),ميل/ نزوع/ نوازع
Incompatibility of Statements,تنافي العبارات
Incomplete Symbols,رموز ناقصة
Incompleteness principle,مبدأ عدم الاكتمال
Indefiniteness,غير محدد
Independent Autonomous Object Type,نوع المواضيع المستقل
Independent Complex,مركب مستقل
Indestructible,غير قابل للإتلاف
Indifference,لامبالاة
Indigo,لوننيلي
Individual Concept,مفهوم شخصي
Individualism,فردانية
Individuals/Primary elements,عناصر أولية
Individuated,مفرد
Individuation,تفريد/ تفرد
Induction,استقراء
"Inductively defined Series of
propositions",سلسلة استقارئية من الجمل
Ineffable,ممتنع الوصف
Ineptness,لاشرعية
Inequality,لامساواة
Inference,استنتاج/ انتقال
Infinitely Less,لامتناهي الأصغرية
Infinitesimal calculus,ترقيم حساب اللامتناهي
Information,إخبار/ ذكر
Inherent,كامن
Initial,بدئي (أول الشيء)
Innate Ideas,أفكار فطرية
Inner Experience,تجربة باطنية (يمر ب...)
Inner life,حياة باطنية
Inner picture,صورة باطنية
Inner states,أحوال باطنية
Institution,مؤسسة
Instrumentalism,أداتية
Intangibility,عدم قابلية التجسيم
Intangible,غير قابلة للإمساك
Intangible,غير ملموس/ يتعذر إمساكه
Integrationist semiotics,السيمياء الاندماجية
Intelligible Qualities,كيفيات معقولة
Intending,نوى، ينوي
Intensity,حدة
Intensity of a Sensation,كثافة الإحساس
Intention,قصد/ مقصد/ نية
Intentional Logic,منطق مفهومي
Intentional Relation,علاقة القصد
Intentional semantics,علم الدلالة المفهومي
Intentional Statement,عبارة مفهومية
Interest,مصلحة
Interlocutor,محاور/ محادث
International,دولي
Interpersonal,ما بين الأشخاص (بين – ذواتي)
Interpretation of a Finding,تأويل النتيجة
Intersection,تقاطع
Interstice,فرجة/ صدع
Intersubjective Correlate,تطابق مابين ذواتي
Intersubjective(Object/ World),بينذواتي/ مابين ذواتي (موضوع/ عالم)
Intrasubjective,بينذاتي
Introspection,استبطان
Intuition (s),حدس/ محدوسات
Intuitionism,حدسانية
Inventing,ابتداع
Inventory List,قائمة الجرد
Inward Sensation,إحساس داخلي
Inward speech,خطاب باطني
Irradiation,إشعاع/ إنارة
Isogenous,متجانس
Isomorphic,متشاكل
Jargon,لغة مضطربة/ غريبة
Jeopardy,خطر
Judgment,حكم (قضائي أو منطقي)
Judicial,قضائي
"Justice: as Fairness-Circumstances of
Distributive-Limits of Procedural
Retributive-Pure","العدالة: كإنصاف - ظروف العدالة - توزيعية -
حدود - إجرائية - جزائية - صرفة"
Justification,تسويغ/ تبرير
Kernel,نواة جوهر
Kinaesthetic feeling,شعور حركي
Kinaesthetic sensations,أحاسيس حركية
Kind of statement,ضرب من الأقوال
Kinds of word,أقسام الكلام
Kinesthetic Sense,إحساس بالحركة - حركي
Kingdom of Ends,مملكة الغايات
Kinship,قرابة
Knowledge/ Cognize/ Recognition,معرفة/ عرف/ تعرف
Lacuna,فجوة/ ثغرة
Landscape,مشهد طبيعي
Language Word,لغة طبيعية
Language-game,لعبة لغوية
Larynx,حنجرة
Laudation,مدح/ ثناء/ تمجيد
Law,قانون
Law Natural - Moral,قانون طبيعي - أخلاقي
Law of excluded middle,مبدأ الثالث المرفوع
Legitimacy/ Legitimate,مشروعية/ مشروع
Legitimate,شرعي/ مشروع
Less real,أقل واقعية
Liberalism,مذهب الحرية الطبيعية
"Liberalism: Deontological - Political -
Egalitarian - Libertarian","ليبارلية: أخلاق الواجب - سياسية - مشروطة -
مطلقة"
Limit,حد
Limits of concept,حدود المفهوم
Line of View (Visual Line),خط الرؤية
Local,محلي (أهلي)
Location Sign,موضع العلامة
Locution,تعبير/ أسلوب كلام/ عبارة
Logical circle,حلقة منطقية
Logical Complex,مركب منطقي
Logical construction,بنى منطقية
Logical Form,صياغة منطقية
Logical Objects,مواضيع منطقية
Logical Skeleton,هيكل منطقي
Logical sum,مجموع منطقي
Logical Translation,ترجمة منطقية
Logical Value,قيمة منطقية
Logically determined,اقتضاء منطقي
Logistic (s),منطق رياضي/ لوجيستيقا (النزعة المنطقية)
Looking into Oneself,نظر في الباطن
Lore,معرفة تقليدية/ مكتسبة بالخبرة
Major,جواب
Make a sum in head,حساب ذهني
Manifestation Relation,علاقة التمظهر
Market,سوق
Material object,جسم مادي
Matrix,مصفوفة
Matters of Fact,"وقائع/ أحداث/ أحداثالواقعة/ أمور الوقائع/ وقائع
العيان"
Maxim,قانون ذاتي
Maximum,نهاية عظمى
Meaning,دلالة/ مدلول
Meaning definition,تفسير المدلول
Meaning Translation,ترجمة المعنى
Meaning-Body,جسم الدلالة
Mechanism,ﺁلية
Medium of the understanding,وسيط الفهم
Member Pair,عنصر زوجي
Memory image,صورة الذاكرة
Mental image,تصور ذهني
Mental process (es),عملية ذهنية/ عمليات نفسية
Mental state,حالة نفسية
Merit,أهلية/ أحقية/ استحقاق
Meritocracy,نظام أو مبدأ
Meta-Ethics,ميتا - أخلاق
Metalinguistic,ما وارء لغوي
Metaphorical Meaning,دلالة مجازية
Method of projection,طريقة إسقاط
Method of representation,طريقة عرض
Mind,ذهن/ فكر
Mind-Body Dualism,ثنائية الروح و الجسد
Minimum,نهاية صغرى
Minor,قرار
Miracle,خارقة/ معجزة
Mistake,خطأ
Misunderstood,إساءة الفهم
Modal Verbs,أفعال الصيغ
Model,منوال
Model Theory,نظرية النماذج
Model/ Diagram/ Model/ Sample,نموذج
Moment,عزم
Monism,نزعة واحدية
Moot,موضع نقاش/ تجريدي
Moral,أخلاقي/ خلقي/ عملي
Moral Person,شخص أخلاقي
Morality,أخلاقية/ الطابع الأخلاقي/ خلقية
Mote,درة من الغبار
Motivations,دوافع
Motives,دوافع
Motor Imagery,تمثل حركي
Muddle,يعكر/ يشوش
Musical phrase,مقطع موسيقي
Mutual Disinterest,لامبالاة متبادلة
Mutuality,تبادل/ مشاركة
My Mind,روحي
Mysterious sense,معنى ملغز
Natural history,تاريخ طبيعي
Natural Philosophy,فلسفة طبيعية
Natural Relation,علاقة طبيعية
Natural Sciences,علوم طبيعية
Nature/ Essence,طبيعة
Negotiation,تفاوض
Neighborhood Relation,علاقة التجاور (القرب)
Neuron,عصب
Neutrality,حياد (عدم انحياز)
Nexus,سلسلة أشياء مترابطة
Nisus/ Endeavour,مجهود/ جهد
Nominalism,نزعة اسمية
Nominalism,إسمانية
Nominatum Statement,دلالة العبارة
Nominatum/ Meaning/ Designate,دلالة/ يدل/ يعني
Nomology,علم النواميس الطبيعية والمنطقية
Nonsense,لامعنى
Nonsensical,عديم المعنى
Norm,معيار
Nothing,لا شيء
Notion,معرف
Noughts and crosses,لعبة الناعورة
Noumenal Word,عالم النومين/ المعقولات
Number,رقم
Numerology,دراسة معاني الأعداد السحرية أو التنجيمية
Obduracy,عناد/ قسوة الفؤاد
Object,موضوع/ شيء
Object Description,وصف الموضوع
Object Form,صيغة الموضوع
Object Type,نوع الموضوع
Objection,اعتراض
Objective,غرض
Objectivism,نزعة موضوعية
Objects/ Theory of,نظرية المواضيع
Obligation,التازم
Obvious Reflection,تفكر بديهي
Occult process,إجراء خفي
Operative Definition,تعريف إجرائي
Opinion,ظن/ أري
Opportunity,فرصة
Opposition,معارضة
Oppression,اضطهاد
Order,نظام/ ترتيب/ أمر/ ارتوب
Order Forms,صيغ النظام
Orderability of the Given,قابلية المعطى للتنظيم
Original,أصلي
Original Position,وضع أصلي
Ostensive Definition,تعريف إشاري/ تعريف بالإشارة
Ostensive teaching of words,تعليم الألفاظ بالإشارة
Outline of a Constructional System,مختصر النسق البنائي
Overdetermination,تحديد مفرط (مبالغ)
Overlapping,متشابك
Overlapping of Similarity Circles,تداخل دوائر التشابه
Overtone,معنى إضافي
Own,يملك
Oxymoron,اجتماع لفظتين مختلفتين
Pail,دلو/ ملء دلو
Painting in words,لوحة بالكلمات
Pair List,قائمة زوجية
Paradigm,نمط استبدالي
Paradox of the Heap,مفارقة الكومة (السوريت)
Paradox of the Liar,مفارقة الكذاب
Parallelogram,متوازي الأضلاع
Paranoia,نزعة الارتياب/ جنون الشك
Paraphrase,إعادة الصياغة/ السبك
Paraphrase in Word Language,تشارح باللغة الطبيعية
Part Identity,هوية (تماثل) جزئي
Part Similarity,تشابه جزئي
Parties,أحازب(أو أطراف)
Partners (in a Contract),أطراف(في عقد)
Passion,انفعال/ هوى
Pathos,تفخيم درامي
Patience,لعبة السوليتار
Perception (s),إدراك/ مدركات
Perceptual World,عالم مدرك
Perfectionism,طلب الكمال
Permissible,مسموحبه (مجاز)
Person’s Integrity,قوامية (وحدة) الشخص
Perspicuous representation,عرض شمولي
Phantasm,خيال/ صورة ذهنية/ لاشيء
Phenomenal World,عالم الظواهر/ المحسوسات
Phenomenalism,نزعة ظاهراتية
Phenomenology,ظاهراتية
Phenomenon,ظاهرة
Philosophical,فلسفية
Philosophical non-Sense,لامعنى فلسفي
Philosophical Superlative,تفضيل فلسفي
Phrased,مصاغة
Physical Basis,أساس فيزيائي
Physical Thing,شيء فيزيائي
Physical-Qualitative Correlation,ترابط كيفي فيزيائي
Physiognomy,سحنة
Picture,صورة /لوحة
Picture-Object,الرسم ـ الشيء
Plausibility,استساغة
Pluralism/ Reasonable,تعددية/ كثرة/ معقولة
Plurality,كثرة/ تعدد
Point,التماعات/ نكتة
Pointing,يعين
Pointing-into-yourself,الإشارة ـ في ـ باطنك
Polemic,هجوم جدلي عنيف
Polysemy,مشترك دلالي
Popular,عامي
Portrait,صورة شخصية
Position,وضع
Possession,حيازة
Possibilities,إمكانيات
Possibility,إمكان
Possible predicate,محمول ممكن
Postulation/ Convention,مصادرة/ اتفاق
Potency,فعالية/ قوة
Power,"قوة/ سلطة (عادة سلطة سياسية)/ قدرة التأثير/
التأثير/ المقدرة/ القدرة/ القدرة التأثيرية"
Practical Life,حياة عملية
Prattle,ثرثرة
Praxis,ممارسة
Preempt,يحتل أولا
Preferential Treatment,معاملة تفاضلية
Prejudge,إجحاف/ تحيز/ تحامل
Present phenomena,ظواهر حالية
Presumption,استدلال بالقرينة
Presupposition,افتراض/ مسبق
Pretence,تعلة/ تمويه
Primacy,أسبقية/ أولي
Primogeniture,بكورة (صفة الأول من أولاد الأسرة)
Principe of identity,مبدأ التماهي
Principle,مبدأ
Principle of compositionality,مبدأ التركيبية
Principle: Regulative - Difference,مبدأ: ضابط - الفرق
Prior,سابق
Priority,أولوية
Prism,موشور
Private object,شيء شخصي
Privately,شخصية
Privilege,امتياز
Procedure,إجراء
Process,عملية/ صيرورة
Process in the brain,عملية دماغية
Process Law,قانون التطور
Projection of the image,ارتسام
Prolegomenon,مقدمة
Promise,وعد
Proof,دليل
Propaedeutic,دراسة تمهيدية
Property,خاصية/ ملكية
Property Description,وصف الخاصية
Proposition,قضية
Proposition/ Statement,عبارة/ قضية
Propositional concept,مفهوم القضية
Propositional Function,دالة قضوية
Propositional sign,علامة القضية
Propositional variable,متغيرة قضوية
Proposition-Radical,قضية جذرية
Proto-phenomenon,ظواهر أولية
Protoplasm,مادة حية أساسية في الحيوان و النبات
Prototype,نموذج أولي/ أصلي
Prototypic semantics,علم الدلالة الطرازية
Providence,عناية
Proximate Colors,ألوان متقرابة/ متجاورة
Proximate Places,مواضع متجاورة
Psychologism,نزعة نفسانية
Psychophysical,نفسي فيزيائي
Psychophysical Problem,مشكل نفسي فيزيائي
Psychophysical Relation,علاقة نفسية فيزيائية
Public,عمومي (شعبي)
Public Reason,عقل عمومي
Punishment,معاقبة
Pure,صرف/ خالص/ محض
Pure (Logically Pure),خالص/ نقي
Purely visual concept,مفهوم رؤية ـ خالصة
Puritanism,مذهب التطهر
Purity of Derivation,اشتقاق خالص
Purposely,عمدا
Puzzle,لغز/ معوصة
Puzzle-Picture,لغز تصويري
Pyrrhonism,بيرونية
Quality,صفة
Quality Class,فئة الكيف
Quantitative (Method),منهج كمي
Quasi Analysis,تحليل زائف
Quasi Constituent,مكون زائف
Quasi Object,موضوع زائف
Race,عرق(عنصر)
Raft,مجموعة كبيرة
Ratiocination,مماحكة عقلية
Rational Justification,تعليل عقلاني
Rational number,عدد بوحدة
Rational Reconstruction,إعادة بناء عقلاني
Raw,خام
Real,حقيقي/ واقعي
Real number,عدد حقيقي
Real Object,مواضيع حقيقية
Real Presence,حضور حقيقي
Realism,نزعة واقعية
Realism of common sense,واقعية الحس المشترك
Realists,واقعيون
Real-Typical,واقع نموذجي
Reason,عقل (وأحيانا سبب عقلي)
Reasonable,معقول
Reasoning,استدلال/ تفكير/ تعقل/ إعمال للعقل
Recipe,وصفة/ صيغة/ طريقة
Reciprocity,مبادلة (تبادل)/ معاملة بالمثل
Recollection Similarity,تذكر التشابه
Recourse,لجوء/ استعانة
Recreation,استجمام
Reducible,قابل للاختازل
Referent,مقدم/ مرجع
Reflection,تأمل/ تفكير/ تفكر
Reflective Equilibrium,توازن انعكاسي
Reformation,إصلاح (حركة الإصلاح)
Regime,نظام (عادة نظام حكم)
Rejoinder,رد / جواب
Relation Description,وصف العلاقة الماصدقية
Relation of an Object,علاقة الموضوع
Relation-Extension,علاقة ماصدقية
Relations/ Theory of,نظرية العلاقات
Relatum,تال
Relief,نقش بارز/ نافر
Reminder,تذكر
Report/ Reporting Relation,تبليغ/ علاقة التبليغ
Representability,استعراضية
Representation,تمثل/ تمثيل/ تصور/ عرض
Representation of what is seen,عرض ما وقعت رؤيته
Republicanism,مذهب جمهوري
Requirement,مقتضى/ مطلب/ شرط/ أحيانا
Research,بحث
Resemblance,تشابه
Retainability of the Given,احتفاظ بالمعطى
Reveries,تهويمات
Revolutions,دوارت الأفلاك
Rewarding,مجازاة/ مكافأة
Rhetorical questions,أسئلة موجهة
Rhythm,إيقاع/ تواتر
Ridge,سلسلة جبال
