English,Arabic,URL
Chat GPT,شات جي بي تي,https://aiinarabic.com/glossary/chat-gpt/
Classification,تصنيف,https://aiinarabic.com/glossary/classification/
Clean Data,البياناتُ المُنقّاةُ/ تنقِيَةُ البياناتِ,https://aiinarabic.com/glossary/clean-data/
Code,شيفرةٌ برمجيَّةٌ,https://aiinarabic.com/glossary/code/
Colab,مِنصَّةُ كُولاب,https://aiinarabic.com/glossary/colab/
Compound Model Scaling,تحجيم النّموذج,https://aiinarabic.com/glossary/compound-model-scaling/
Confidence,عتبة الدقة,https://aiinarabic.com/glossary/confidence/
Confusion Matrix,مصفوفة الالتباس,https://aiinarabic.com/glossary/confusion-matrix/
Contextual Conversation Prompt,التّلقين السّياقي للمحادثات,https://aiinarabic.com/glossary/contextual-conversation-prompt/
Continuous Quantitative Variable,المتغيّر الكمّي المُستمر,https://aiinarabic.com/glossary/continuous-quantitative-variable/
Contour Filtering,تصفية الحدود,https://aiinarabic.com/glossary/contour-filtering/
Convolution,عملِيَّةُ جِداءِ الطَّيِّ  يُعَرَّفُ جِداءُ الطَّيِّ بأنه التَّكاملُ الذي يُعبِّرُ عن كميةِ التَّداخُلِ لتابعٍ ما عندما يُزاحُ عن تابعٍ آخرَ. وعمليَّةُ جِداءِ الطَّيِّ هي عمليَّةٌ تبديليَّةٌhttp://mathworld.wolfram.com/Convolution.html,https://aiinarabic.com/glossary/convolution/
Convolutional Neural Network (CNN),شَبَكَاتُ الطَّيِّ العُصبُونِيَّةشَبَكَاتُ الطَّيِّ العُصبونِيَّة مأخوذةٌ من عملِيَّةِ الطَّيِّ (راجِع تعريفَ عمليَّةِ جِداءِ الطَّيِّ).,https://aiinarabic.com/glossary/convolutional-neural-network/
Coreference,الإحالة المشتركة,https://aiinarabic.com/glossary/coreference/
Coreference Resolution,القرارُ الجَوهريُّ,https://aiinarabic.com/glossary/coreference-resolution/
Corpus,ديوان نصيّ,https://aiinarabic.com/glossary/corpus/
Covariance Matrix,مصفوفة التّغايُر,https://aiinarabic.com/glossary/covariance-matrix/
Cox Regression,انحدار كوكس,https://aiinarabic.com/glossary/cox-regression/
Cross-Entropy,الإنتروبيا المُتقاطِعةُ  مِقياسٌ مأخوذٌ من عِلمِ نظرِيَّةِ المعلوماتِ لقياسِ الفرقِ بين توَزُّعَينِ احتِمالِيَّينِ لمجموعةٍ من المُتغيِّراتِ أو الأحداثِ، وهو مبنيٌّ على مفهومِ الإنتروبيا (التي تُعرَّفُ بأنها القيمةُ المُتوسِّطةُ لِمقياسِ المعلوماتِ المنقولةِ نتيجةً لإحداثِ حَدثٍ ما من مجموعةٍ محدودة من الأحداثِ المُستقلَّةِ تبادُليًا، تلك الأحداثُ التي لها احتمالاتٌ مُحدَّدةٌ وتُغطِّي كُلَّ فَضاءِ الاحتمالات)، تقيسُ الإنتروبيا المُتقاطِعةُ عُمومًا الإنتروبيا الكُليَّةَ لمجموعةٍ من التوزُّعاتِ الاحتماليَّة.,https://aiinarabic.com/glossary/cross-entropy/
Cross Validation,التّحقُّق المُتقاطع,https://aiinarabic.com/glossary/cross-validation/
CUDA,كودا,https://aiinarabic.com/glossary/cuda/
Data Analysis,تحليل البيانات,https://aiinarabic.com/glossary/data-analysis/
Data Augmentation,تعزيز البيانات,https://aiinarabic.com/glossary/data-augmentation/
Data Pipeline,مسارُ تدفُّقِ البياناتِ,https://aiinarabic.com/glossary/data-pipeline/
Data Visualization,التّمثيل المرئي للبيانات,https://aiinarabic.com/glossary/data-visualization/
Dataframe in Pandas,إطار البيانات في بانداس,https://aiinarabic.com/glossary/dataframe-in-pandas/
Date-Related Features,المزايا المُتعلّقة بالتاريخ,https://aiinarabic.com/glossary/date-related-features/
DBSCAN,Density-Based Spatial Clustering of Applications with Noise خوارزميّة التجميع دي بي سكان,https://aiinarabic.com/glossary/dbscan/
Decision Rules,قواعد القرار,https://aiinarabic.com/glossary/decision-rules/
Decision Tree,شجرة القرار,https://aiinarabic.com/glossary/decision-tree/
Decoder,فاكُّ التّرميز,https://aiinarabic.com/glossary/decoder/
Deep Learning,التَّعَلُّمُ العمِيقُ,https://aiinarabic.com/glossary/deep-learning/
Deep Neural Networks,الشَّبَكَات العُصبُونِيَّة العميقة,https://aiinarabic.com/glossary/deep-neural-networks/
Dense Block,الكتلة الكثيفة,https://aiinarabic.com/glossary/dense-block/
Dense Layer,الطَّبَقةُ الكثيفةُالطَّبَقةُ ذاتُ الاتِّصالِ الكاملِ,https://aiinarabic.com/glossary/dense-layer/
Dense Network,الشبكة الكثيفة/الشبكة ذات الاتصال الكامل,https://aiinarabic.com/glossary/dense-network/
Dense Prediction Transformers (DPT),محوّلات التّنبؤ الكثيف,https://aiinarabic.com/glossary/dense-prediction-transformers-dpt/
Dependency Parsing,الإعرابُ الاعتماديُّ,https://aiinarabic.com/glossary/dependency-parsing/
Depthwise Separable Convolution,الطّي بالعمق المنفصل,https://aiinarabic.com/glossary/depthwise-separable-convolution/
Diffusion Models,نماذج الانتشار,https://aiinarabic.com/glossary/diffusion-models/
Discrete Quantitative Variable,المتغيّر الكمّي المُنفصل,https://aiinarabic.com/glossary/discrete-quantitative-variable/
Divisive Clustering,التجميع الهرميّ من الأعلى إلى الأسفل,https://aiinarabic.com/glossary/divisive-clustering/
Domain Expert,خبيرُ المَجال,https://aiinarabic.com/glossary/domain-expert/
Domain Shift Problem,مُشكِلةُ تغييرِ المجالِ  تظهرُ هذه المشكلةُ عندما تكونُ قاعدةُ بياناتِ التَّدريبِ وقاعدةُ بياناتِ التَّحقُّقِ من مجالينِ مُختلِفينِ، فمثلًا: نقومُ بالتَّدريبِ على الصُّورِ المأخوذةِ من العالَمِ الافتراضيِّ ثُمَّ نقومُ بالتَّحقُّقِ على (بالتَّحَقُّقِ على أم بالتحقُّقِ من؟) الصُّورِ المأخُوذةِ من مجالِ العالَمِ الحقيقيِّ. عادةً ما يكونُ سببُ هذا الاختلافِ هو اختلافَ معامِلاتِ آلاتِ التَّصويرِ في العالَمَين.,https://aiinarabic.com/glossary/domain-shift-problem/
Domain-Specific Features,المزايا الخاصة بمجال التطبيق,https://aiinarabic.com/glossary/domain-specific-features/
Dot Product,الجداء النُّقَطي,https://aiinarabic.com/glossary/dot-product/
Double Cross-Validation,التّحقق المُتقاطع المُزدوج,https://aiinarabic.com/glossary/double-cross-validation/
Downsampling,تصغير الأبعاد,https://aiinarabic.com/glossary/downsampling/
Dropout,تعطيلُ عملِ العُصبُوناتِ,https://aiinarabic.com/glossary/dropout/
Early Stopping,التّوقُّف المُبكّر,https://aiinarabic.com/glossary/early-stopping/
Edge Detection Segmentation,خوارزميّة التجزئة المعتمدة على كشف الحواف,https://aiinarabic.com/glossary/edge-detection-segmentation/
Eigen Face,الوجهُ الخاصُّ/ الوجهُ المُتوسِّطُيُشبِهُ مبدأُ عملهِ مبدأَ عملِ المُتوسِّطِ الحِسابيِّ.,https://aiinarabic.com/glossary/eigen-face/
EigenValues,القيم الذّاتيّة,https://aiinarabic.com/glossary/eigenvalues/
EigenVector,المُتّجهات الذّاتيّة,https://aiinarabic.com/glossary/eigenvector/
Elastic Net Regression,انحدار الشبكة المرنة,https://aiinarabic.com/glossary/elastic-net-regression/
Embedding Layer,طبقةُ التَّضمينِ,https://aiinarabic.com/glossary/embedding-layer/
Emotion Detector,كاشِفُ المَشاعِرِ أو العَواطِفِ,https://aiinarabic.com/glossary/emotion-detector/
Encoder,المُرمّز,https://aiinarabic.com/glossary/encoder/
Encoder-Decoder Attention Layer,طبقة الاهتمام مُرمّز-فاكّ التّرميز,https://aiinarabic.com/glossary/encoder-decoder-attention-layer/
Ensemble,مجمُوعةٌ,https://aiinarabic.com/glossary/ensemble/
Entropy,الانتروبي,https://aiinarabic.com/glossary/entropy/
Epoch,دورةُ تدريبٍ,https://aiinarabic.com/glossary/epoch/
Expanding Window Feature,مزايا النافذة الموسّعة,https://aiinarabic.com/glossary/expanding-window-feature/
Expectation-Maximization (EM) Clustering using Gaussian Mixture Models (GMM),خوارزميّة التجميع بتعظيم القيمة المتوقّعة باستخدام نموذج غاوس المختلط,https://aiinarabic.com/glossary/expectation-maximization-em-clustering-using-gaussian-mixture-models-gmm/
Expert System,النّظامُ الخبير,https://aiinarabic.com/glossary/expert-system/
Experta,مَكتبةُ اكسبيرتا,https://aiinarabic.com/glossary/experta/
Explanation Module,وحدةُ الشّرحِ والتّفسير,https://aiinarabic.com/glossary/explanation-module/
Extended Efficient Layer Aggregation Network (E-ELAN),شبكة تجميع طبقات فعّالة ممتدّة,https://aiinarabic.com/glossary/extended-efficient-layer-aggregation-network-e-elan/
Face Landmarks Estimation,تقدير معالم الوجه,https://aiinarabic.com/glossary/face-landmarks-estimation/
Facts,الحقائق,https://aiinarabic.com/glossary/facts/
False Negative,قيمة التنبُّؤ السلبي الخاطئ,https://aiinarabic.com/glossary/false-negative/
False Positive,قيمة التنبُّؤ الإيجابي الخاطئ,https://aiinarabic.com/glossary/false-positive/
Fast Region-Based Convolutional Neural Network (Fast R-CNN),شَبَكَةُ الطَّيِّ العُصبُونِيَّة المناطِقيَّةِ السَّريعةِ,https://aiinarabic.com/glossary/fast-region-based-convolutional-neural-network-fast-r-cnn/
Faster Region-Based Convolutional Neural Network (Faster R-CNN),شَبَكَةُ الطَّيِّ العُصبُونِيَّة المناطِقيَّةِ الأسرع,https://aiinarabic.com/glossary/faster-region-based-convolutional-neural-network-faster-r-cnn/
Feature Engineering,هندسة المزايا,https://aiinarabic.com/glossary/feature-engineering/
Feature Map,خريطةُ المزايا,https://aiinarabic.com/glossary/feature-map/
Feature Vector,شُعاع المَزايا,https://aiinarabic.com/glossary/feature-vector/
Feedforward Network,شبكة تغذية أماميّة,https://aiinarabic.com/glossary/feedforward-network-2/
Few-Shot Prompting,التّلقين بالقليل من الأمثلة,https://aiinarabic.com/glossary/few-shot-prompting/
Filter,مُرشِّحُ الطَّيِّ  هو التَّابعُ أو المَصفُوفَةُ التي تُستَخدمُ في عمليَّةِ الطَّيِّ مع مَصفُوفةِ الدَّخل. (تجبُ الإشارةُ هنا إلى أن مُرشِّحَ الطَّيِّ مُختلفٌ عن غيرٍه من المُرشِّحات مثلَ مُرشِّحِ كالمان Kalman Filter.وقد تُرجِمَ هنا بمُرشِّحٍ بدلًا من مَصفوفَةِ الطَّيِّ؛ لأن المَصفوفَةَ هي مفهومٌ تجريدِيٌّ لا يدُلُّ على وُجوبِ تنفيذِ عمليَّةِ الطَّيِّ الَّتي يقومُ بها المُرشِّح).,https://aiinarabic.com/glossary/filter/
Filter Banks,مصفُوفَةُ المُرشِّحاتِ,https://aiinarabic.com/glossary/filter-banks/
Fine-tuning,ضَبطٌ دقيقٌ,https://aiinarabic.com/glossary/fine-tuning/
Fisherface,وجهُ فيشر,https://aiinarabic.com/glossary/fisherface/
Flat Shaded,مظلّلة بشكل مسطّح,https://aiinarabic.com/glossary/flat-shaded/
Flatten,تسطيحٌ,https://aiinarabic.com/glossary/flatten/
Forecasting,التنبُّؤ,https://aiinarabic.com/glossary/forecasting/
Foreground Segmentation,تجزئة المقدمة,https://aiinarabic.com/glossary/foreground-segmentation/
Forward Chaining,التَّسلسلُ الأماميّ,https://aiinarabic.com/glossary/forward-chaining/
Framework,إطارُ عملٍ,https://aiinarabic.com/glossary/framework/
Fully Connected Layer,الطَّبَقةُ ذاتُ الاتصالِ الكاملِ,https://aiinarabic.com/glossary/fully-connected-layer/
Fully Convolutional Adaptation Network - FCAN,شَبَكَاتُ المُلاءمة كاملةُ الطَّيِّالأفضل تعبيريَّا: شَبَكَاتُ المُلاءمةِ ذاتُ الطَّيِّ الكامل,https://aiinarabic.com/glossary/fully-convolutional-adaptation-network-fcan/
Gated Recurrent Unit Network GRU,الشَّبَكَةُ العُصبونِيَّة ذاتُ البوَّاباتِ,https://aiinarabic.com/glossary/gated-recurrent-unit-network-gru/
Generalization,التّعميم,https://aiinarabic.com/glossary/generalization/
Generative Pre-trained Transformer,المحوّل التّوليدي المدرّب مسبقًا,https://aiinarabic.com/glossary/generative-pre-trained-transformer/
Geometric Transformations,التّحويلات الهندسيّة,https://aiinarabic.com/glossary/geometric-transformations/
GoogLeNet,شَبَكَةُ جوجل انسبشن,https://aiinarabic.com/glossary/googlenet/
Google's MobileNet,شبكة موبايل-نت من غوغل,https://aiinarabic.com/glossary/googles-mobilenet/
GPT,مُحوّل جي بي تي,https://aiinarabic.com/glossary/gpt-2/
GrabCut Algorithm,خوارزمية غرابكات,https://aiinarabic.com/glossary/grabcut-algorithm/
Grid Search,بحث شَبَكي,https://aiinarabic.com/glossary/grid-search/
Ground-Truth,الحقائِقُ المَرجِعيَّةُ,https://aiinarabic.com/glossary/ground-truth/
Grounding,تحديد موقع مكوّنات التّوصيف في الصّورة,https://aiinarabic.com/glossary/grounding/
Hard Margin,الهامش الصلب,https://aiinarabic.com/glossary/hard-margin/
Heuristic Knowledge,المَعرٍفَةُ الحَدسيّة,https://aiinarabic.com/glossary/heuristic-knowledge/
Hidden State,الحالة المخفيّة,https://aiinarabic.com/glossary/hidden-state/
Hierarchical Attention Network,شَبَكَةُ الاهتِمامِ الهَرميِّ,https://aiinarabic.com/glossary/hierarchical-attention-network/
Hierarchical Deep Learning,التّعلّم العميق الهرميّ,https://aiinarabic.com/glossary/hierarchical-deep-learning/
Histogram Of Oriented Gradient,مخطّط/هستوغرام التدرّج الموجّه,https://aiinarabic.com/glossary/histogram-of-oriented-gradient/
Hyper-Parameter Setting,"ضَبطُ المُعامِلاتِ الأساسيَّةِتُعرَّفُ بأنها المُعامِلاتُ التي تُوضَعُ قِيَمُها قبلَ بدايةِ التَّعَلُّمِ، وهي على عكسِ ""معامِلات الموديل"" model parameter التي تتغيَّرُ أثناءَ عملِيَّةِ التَّعَلُّمِ.",https://aiinarabic.com/glossary/hyper-parameter-setting/
Hyper-Parameter Tuning,تَعييرُ المُعامِلاتِ الأساسِيَّةِ,https://aiinarabic.com/glossary/hyper-parameter-tuning/
Hyper-Parameters,المُعامِلاتِ الأساسيَّةِ,https://aiinarabic.com/glossary/hyper-parameters/
Hyperlane,المستوي الفائق,https://aiinarabic.com/glossary/hyperlane/
Identity Function,التابع الواحدي,https://aiinarabic.com/glossary/identity-function/
Image Annotation,تنصيص الصّور,https://aiinarabic.com/glossary/image-annotation/
Image Captioning,توصيف الصّورة,https://aiinarabic.com/glossary/image-captioning/
Image Recognition,التّعرُّف على الصّور,https://aiinarabic.com/glossary/image-recognition/
Image Segmentation,تجزئة الصّورة,https://aiinarabic.com/glossary/image-segmentation/
Image Segmentation based on Clustering,خوارزمية التجزئة المعتمدة على التجمّعات,https://aiinarabic.com/glossary/image-segmentation-based-on-clustering/
IMDB,مجموعة بيانات مراجعات الأفلام,https://aiinarabic.com/glossary/imdb/
Imitation Learning,التَّعَلُّمُ بالمُحاكاةِ,https://aiinarabic.com/glossary/imitation-learning/
Inception Network,شَبَكَةُ جوجل انسبشن,https://aiinarabic.com/glossary/inception-network/
Inference Engine,مُحرّك الاستدلال,https://aiinarabic.com/glossary/inference-engine/
Information Retrieval (IR),استرجاع المعلومات,https://aiinarabic.com/glossary/information-retrieval-ir/
Inliers,القيم الداخليّة,https://aiinarabic.com/glossary/inliers/
Instance Segmentation,تجزئة المثيل,https://aiinarabic.com/glossary/instance-segmentation/
IRIS Dataset,آيريس (قاعدة بيانات لتصنيف شكل ثلاثة أنواع من الزهور),https://aiinarabic.com/glossary/iris-dataset/
Iterative Algorithms,الخوارزميّات التّكراريّة,https://aiinarabic.com/glossary/iterative-algorithm/
Jupyter Notebook,ورقةُ جوبيتر,https://aiinarabic.com/glossary/jupyter-notebook/
K-Distance,المسافة-k,https://aiinarabic.com/glossary/k-distance/
K-Means Clustering,خوارزميّة التجميع بالمتوسّطات,https://aiinarabic.com/glossary/k-means-clustering/
Karpathy Splits,تقسيمات كارباثي,https://aiinarabic.com/glossary/karpathy-splits/
Keras,كيراس,https://aiinarabic.com/glossary/keras/
Kernel,مصفُوفَةُ الطَّيِّ  هي المَصفُوفَةُ التي تُستَخدَمُ في عمليَّةِ الطَّيِّ.,https://aiinarabic.com/glossary/kernel/
Kernel Density Plot,مخطّط الكثافة,https://aiinarabic.com/glossary/kernel-density-plot/
KNN Algorithm,خوارزمية الجوار الأقرب,https://aiinarabic.com/glossary/knn-algorithm/
Knowledge Acquisition,اكتسابُ المَعرفَة,https://aiinarabic.com/glossary/knowledge-acquisition/
Knowledge Base,قاعدةُ المَعرِفَة,https://aiinarabic.com/glossary/knowledge-base/
Knowledge Engineer,مُهندسٌ المَعرفة,https://aiinarabic.com/glossary/knowledge-engineer/
Knowledge Representation,تَمثيلٌ المَعرِفَة,https://aiinarabic.com/glossary/knowledge-representation/
Label,عُنوانٌ,https://aiinarabic.com/glossary/label/
Lag Features,مزايا التأخير,https://aiinarabic.com/glossary/lag-features/
Large Language Models (LLMs),نماذج اللّغة الكبيرة,https://aiinarabic.com/glossary/large-language-models-llms/
Lasso Regression,انحدار لاسو,https://aiinarabic.com/glossary/lasso-regression/
Lead Head,الرّأس القائد,https://aiinarabic.com/glossary/lead-head/
Learning Rate,معدل التعلُّم,https://aiinarabic.com/glossary/learning-rate/
Lemmatization,الحُصولُ على أصلِ الكلِمةِ,https://aiinarabic.com/glossary/lemmatization/
Linear regression,الانحدار الخطّي,https://aiinarabic.com/glossary/linear-regression/
Lineplot,المخطّط الخطّي,https://aiinarabic.com/glossary/lineplot/
Local Optima,الحل الأمثل المحلي,https://aiinarabic.com/glossary/local-optima/
Local Outlier Factor,خوارزميّة اكتشاف القيم المُتطرّفة المحلية,https://aiinarabic.com/glossary/local-outlier-factor/
Logistic Regression,الانحدار اللوجستي,https://aiinarabic.com/glossary/logistic-regression/
Long Short Term Memory LSTM,الشَّبَكَةُ العُصبُونِيَّةُ ذاتُ الذَّاكِرةِ الطَّويلةِ قصيرةِ المَدى,https://aiinarabic.com/glossary/long-shot-term-memory-lstm/
Loss Function,تابعُ الخسارةِ,https://aiinarabic.com/glossary/loss-function/
Machine Translation,الترجمة الآليّة,https://aiinarabic.com/glossary/machine-translation/
MagicaVoxel,فوكسل ماجيكا,https://aiinarabic.com/glossary/magicavoxel/
Markov Decision Process,عمليَّةُ ماركوف لاتَّخاذِ القرارِ,https://aiinarabic.com/glossary/markov-decision-process/
Mask Approximations,القناع المُقترح,https://aiinarabic.com/glossary/mask-approximations/
Mask R-CNN,شَبَكَةُ الطَّيِّ العُصبُونِيَّةِ المناطِقيَّةِ ذاتُ القناع,https://aiinarabic.com/glossary/mask-r-cnn/
Masked Language Model (MLM),النّموذج اللّغويّ المُقنّع,https://aiinarabic.com/glossary/masked-language-model-mlm/
Matplotlib,مكتبةُ الرَّسمِ الرِّياضيِّ في بايثون (ماتبلوت),https://aiinarabic.com/glossary/matplotlib/
Matrix Multiplication,الضرب المصفوفي,https://aiinarabic.com/glossary/matrix-multiplication/
Matrix Product,جداء المصفوفات,https://aiinarabic.com/glossary/matrix-product/
Max Pooling,تجمِيعٌ وفقَ القيمةِ الكُبرى,https://aiinarabic.com/glossary/max-polling/
Mean-Shift Algorithm,خوارزميّة التجميع بالمتوسّط المتحوّل,https://aiinarabic.com/glossary/mean-shift-algorithm/
Meched-Memory Transformers,محوّلات الذّاكرة المتشابكة,https://aiinarabic.com/glossary/meched-memory-transformers/
Mini-Batch,الدُّفعَةُ المُصغَّرةُ,https://aiinarabic.com/glossary/mini-batch/
Mini-Batch Size,حجم الدّفعة الأصغري,https://aiinarabic.com/glossary/mini-batch-size/
MNIST Dataset,مجموعة بيانات إم نيست,https://aiinarabic.com/glossary/mnist-dataset/
MobileNet,شبكة موبايل-نت,https://aiinarabic.com/glossary/mobilenet/
Model Architecture,بُنيةُ النَّمُوذجِ,https://aiinarabic.com/glossary/model-architecture/
Model-based RL,التَّعَلُّمُ بالتَّعزيزِ المُستنِدِ إلى نَمُوذجٍ,https://aiinarabic.com/glossary/model-based-rl/
Module,وحدةٌ,https://aiinarabic.com/glossary/module/
Momentum,زخم الحركة,https://aiinarabic.com/glossary/momentum/
MSCOCO,قاعِدُةُ بياناتِ مايكروسوفت كوكو,https://aiinarabic.com/glossary/mscoco/
Multi-Headed Attention,الاهتمام مُتعدّد الرؤوس,https://aiinarabic.com/glossary/multi-headed-attention/
Multi-Resolution Search,البحث مُتعدّد الدّقة,https://aiinarabic.com/glossary/multi-resolution-search/
MxNet,إم إكس نت,https://aiinarabic.com/glossary/mxnet/
Named entity recognition (NER),التعرف على الأعلام,https://aiinarabic.com/glossary/named-entity-recognition-ner/
Natural Language Toolkit (NLTK),مكتبة صندوق أدوات اللغات الطبيعية,https://aiinarabic.com/glossary/natural-language-toolkit-nltk/
Negative Binomial Regression,الانحدار السلبي ثنائي الحد,https://aiinarabic.com/glossary/negative-binomial-regression/
Negative Skewed,منحرف بشكل سلبيّ,https://aiinarabic.com/glossary/negative-skewed/
Neural Network,شَبَكَةٌ عُصبُونِيَّةٌ,https://aiinarabic.com/glossary/neural-network/
Neural Style Transfer,نقل النمط العصبوني,https://aiinarabic.com/glossary/neural-style-transfer/
N-gram,n واحدة تعداد لمصطلح,https://aiinarabic.com/glossary/ngram/
Numpy,مكتبةُ بايثون العدديَّةُ,https://aiinarabic.com/glossary/numpy/
Object Detection,الكشفُ عن الأغراضِ,https://aiinarabic.com/glossary/object-detection/
One Hot Encoding,ترميز ون هوت,https://aiinarabic.com/glossary/one-hot-encoding/
OpenCv,المكتبةُ المفتوحةُ للرُّؤيةِ الحاسُوبيَّةِ,https://aiinarabic.com/glossary/opencv/
Optimizer,المُحسِّنُهو خُوارِزمِيَّةٌ تعملُ على التَّقارُبِ نحو الحلِّ الأمثلِ. يقومُ في حالةِ الشَّبَكَةِ العُصبونيَّة بتعديلِ الأوزانِ ومُعدَّلِ التَّعَلُّمِ من أجلِ تقليلِ الخسارةِ.,https://aiinarabic.com/glossary/optimizer/
Ordinal Regression,الانحدار الترتيبي,https://aiinarabic.com/glossary/ordinal-regression/
Outliers,القيم المُتطرّفة,https://aiinarabic.com/glossary/outliers/
Overfitting,المُلاءمةُ الزَّائدةُ,https://aiinarabic.com/glossary/overfitting/
Package,حُزَمٌ,https://aiinarabic.com/glossary/package/
